ID_CLIENTE;MSISDN;DATA_HORA;EVENTO;ID;TARIFA
C0000125;5511988387434;08/09/2026 10:37;ENTREGUE;R158;0,12
C0000401;5511945400991;20/09/2026 08:29;ENTREGUE;R487;0,12
C0000473;5511911608113;13/09/2026 19:07;ENTREGUE;R582;0,12
C0000085;5511999170406;05/09/2026 11:23;INTERACAO;R111;0,12
C0000182;5511919099261;18/09/2026 14:56;INTERACAO;R217;0,12
C0000120;5511916533225;27/07/2026 19:50;ENTREGUE;R152;0,12
C0000416;5511955329991;11/09/2026 15:12;ENTREGUE;R507;0,12
C0000281;5511938833029;13/08/2026 18:45;ENTREGUE;R354;0,12
C0000476;5511996979318;13/09/2026 13:19;ENTREGUE;R587;0,12
C0000157;5511989131271;09/08/2026 16:49;ENTREGUE;R181;0,12
C0000076;5511956095437;17/08/2026 16:42;ENTREGUE;R96;0,12
C0000332;5511949536330;07/08/2026 10:20;INTERACAO;R407;0,12
C0000198;5511990535106;29/07/2026 12:20;ENTREGUE;R240;0,12
C0000171;5511929907683;21/08/2026 14:11;ENTREGUE;R196;0,12
C0000109;5511973404979;14/09/2026 15:26;FALHA_ENTREGA;R139;0,12
C0000371;5511915809144;02/09/2026 13:04;ENTREGUE;R445;0,12
C0000345;5511917293304;05/09/2026 14:13;ENTREGUE;R421;0,12
C0000482;5511958508204;05/09/2026 11:30;ENTREGUE;R592;0,12
C0000455;5511973586743;02/09/2026 15:18;ENTREGUE;R556;0,12
C0000099;5511987535841;07/09/2026 18:43;ENTREGUE;R129;0,12
C0000442;5511946780435;06/09/2026 16:02;FALHA_ENTREGA;R545;0,12
C0000238;5511949057246;06/09/2026 17:41;FALHA_ENTREGA;R300;0,12
C0000481;5511936068867;20/09/2026 09:41;ID_CONFIRMADA;R590;0,12
C0000015;5511950264926;19/09/2026 14:49;ENTREGUE;R30;0,12
C0000390;5511939260590;28/08/2026 18:46;FALHA_ENTREGA;R480;0,12
C0000142;5511934756698;16/09/2026 11:04;ENTREGUE;R170;0,12
C0000490;5511936182785;09/08/2026 14:02;ENTREGUE;R603;0,12
C0000082;5511977378254;02/09/2026 10:45;ENTREGUE;R101;0,12
C0000101;5511958657117;29/07/2026 15:43;INTERACAO;R130;0,12
C0000244;5511934412077;31/08/2026 09:23;ENTREGUE;R307;0,12
C0000273;5511981988124;07/08/2026 12:12;INTERACAO;R344;0,12
C0000202;5511917786452;20/08/2026 18:58;FALHA_ENTREGA;R248;0,12
C0000381;5511927206452;19/09/2026 12:24;INTERACAO;R461;0,12
C0000290;5511954770958;21/08/2026 14:45;ENTREGUE;R360;0,12
C0000491;5511924155900;27/07/2026 15:13;ENTREGUE;R604;0,12
C0000223;5511999186817;27/07/2026 17:26;FALHA_ENTREGA;R283;0,12
C0000379;5511960511038;02/08/2026 18:56;ENTREGUE;R457;0,12
C0000082;5511970549373;10/09/2026 19:59;ENTREGUE;R104;0,12
C0000236;5511974418331;04/09/2026 12:01;ENTREGUE;R298;0,12
C0000077;5511994676162;09/09/2026 18:08;INTERACAO;R97;0,12
C0000026;5511999600766;24/08/2026 18:09;INTERACAO;R36;0,12
C0000105;5511952103092;28/08/2026 15:05;ENTREGUE;R136;0,12
C0000115;5511959330907;23/09/2026 18:54;ID_CONFIRMADA;R144;0,12
C0000326;5511924971907;23/08/2026 19:27;ENTREGUE;R397;0,12
C0000285;5511967722445;29/08/2026 17:22;ENTREGUE;R356;0,12
C0000440;5511924890990;07/09/2026 10:59;ENTREGUE;R542;0,12
C0000268;5511911101134;30/07/2026 12:37;ENTREGUE;R335;0,12
C0000307;5511996657974;18/09/2026 11:54;ENTREGUE;R374;0,12
C0000002;5511993016315;25/08/2026 12:40;ENTREGUE;R7;0,12
C0000433;5511977702274;02/08/2026 15:24;ENTREGUE;R531;0,12
C0000307;5511974304823;10/08/2026 13:48;ENTREGUE;R378;0,12
C0000057;5511950559278;16/08/2026 18:49;ENTREGUE;R79;0,12
C0000291;5511998171888;02/09/2026 13:46;FALHA_ENTREGA;R361;0,12
C0000264;5511948141360;31/08/2026 14:05;ENTREGUE;R331;0,12
C0000404;5511924236463;18/08/2026 10:42;ENTREGUE;R491;0,12
C0000273;5511981988124;01/09/2026 10:05;INTERACAO;R345;0,12
C0000371;5511915809144;27/07/2026 09:29;INTERACAO;R444;0,12
C0000087;5511914963880;19/08/2026 18:25;ENTREGUE;R116;0,12
C0000439;5511958025924;20/08/2026 12:15;ENTREGUE;R540;0,12
C0000460;5511960291405;27/07/2026 11:10;ID_CONFIRMADA;R565;0,12
C0000493;5511925583513;17/09/2026 09:33;ENTREGUE;R606;0,12
C0000432;5511932708438;30/07/2026 16:10;FALHA_ENTREGA;R527;0,12
C0000248;5511963345392;15/09/2026 16:36;ENTREGUE;R314;0,12
C0000012;5511982556484;09/08/2026 17:18;ENTREGUE;R21;0,12
C0000482;5511958508204;07/08/2026 16:55;ENTREGUE;R593;0,12
C0000332;5511949536330;26/08/2026 13:10;ENTREGUE;R409;0,12
C0000093;5511976306502;09/08/2026 12:59;ENTREGUE;R123;0,12
C0000434;5511950884443;14/08/2026 13:24;ENTREGUE;R532;0,12
C0000200;5511959886371;03/08/2026 19:53;ENTREGUE;R243;0,12
C0000049;5511955440919;19/08/2026 14:58;ENTREGUE;R70;0,12
C0000180;5511992370625;11/08/2026 13:06;ENTREGUE;R210;0,12
C0000020;5511913326769;03/09/2026 16:40;ENTREGUE;R33;0,12
C0000040;5511984087145;22/08/2026 14:29;ENTREGUE;R52;0,12
C0000176;5511931424479;21/09/2026 18:51;FALHA_ENTREGA;R206;0,12
C0000137;5511975901885;02/08/2026 17:50;ENTREGUE;R166;0,12
C0000245;5511974725282;09/08/2026 16:04;ENTREGUE;R312;0,12
C0000214;5511978038903;18/09/2026 10:34;ENTREGUE;R270;0,12
C0000451;5511948131375;22/09/2026 14:37;INTERACAO;R552;0,12
;5511949536330;20/08/2026 17:43;ENTREGUE;R410;0,12
C0000296;5511991594977;20/08/2026 10:33;ENTREGUE;R364;0,12
C0000300;5511930144703;15/09/2026 13:55;ENTREGUE;R368;0,12
C0000023;5511953779528;21/08/2026 10:20;ID_CONFIRMADA;R35;0,12
C0000087;5511974227366;23/09/2026 10:52;ENTREGUE;R117;0,12
C0000352;5511996996261;17/09/2026 09:51;ENTREGUE;R429;0,12
C0000182;5511919099261;18/08/2026 11:41;ENTREGUE;R216;0,12
C0000045;5511993940940;22/09/2026 10:10;ENTREGUE;R61;0,12
C0000221;5511925489430;07/08/2026 18:30;ENTREGUE;R279;0,12
C0000424;5511994254420;14/09/2026 13:20;ENTREGUE;R516;0,12
C0000203;5511994112495;05/09/2026 12:17;ENTREGUE;R251;0,12
C0000015;5511945650176;09/09/2026 11:50;ENTREGUE;R28;0,12
C0000076;5511956095437;18/09/2026 10:07;ENTREGUE;R95;0,12
C0000307;5511974304823;30/08/2026 12:59;ENTREGUE;R377;0,12
C0000307;5511974304823;03/09/2026 12:49;ENTREGUE;R376;0,12
C0000215;5511984776858;01/09/2026 17:51;ENTREGUE;R273;0,12
C0000480;5511936268523;06/09/2026 12:28;ENTREGUE;R589;0,12
C0000416;5511955329991;17/09/2026 08:27;ENTREGUE;R506;0,12
C0000462;5511922514663;21/08/2026 13:43;ENTREGUE;R569;0,12
C0000474;5511923665188;06/09/2026 12:29;ENTREGUE;R584;0,12
C0000210;5511922475714;01/08/2026 08:55;ENTREGUE;R266;0,12
C0000072;5511942657384;22/08/2026 17:30;ENTREGUE;R90;0,12
C0000271;5511943999060;15/09/2026 15:03;ENTREGUE;R341;0,12
C0000279;5511971568435;15/08/2026 11:39;ENTREGUE;R352;0,12
C0000137;5511975901885;07/08/2026 16:13;ENTREGUE;R165;0,12
C0000230;5511964711545;30/08/2026 13:01;ENTREGUE;R294;0,12
C0000278;5511919447334;09/08/2026 13:51;ENTREGUE;R350;0,12
C0000046;5511974759996;03/09/2026 08:33;ENTREGUE;R64;0,12
C0000431;5511946904845;06/08/2026 08:48;ENTREGUE;R526;0,12
C0000096;5511920901547;12/09/2026 14:08;ID_CONFIRMADA;R125;0,12
C0000114;5511941715995;01/09/2026 13:12;ENTREGUE;R143;0,12
C0000230;5511968119636;05/09/2026 11:24;ENTREGUE;R295;0,12
C0000172;5511984618850;06/08/2026 15:38;ENTREGUE;R201;0,12
C0000227;5511942258945;05/08/2026 12:49;ENTREGUE;R288;0,12
C0000082;5511920952896;04/09/2026 12:06;ENTREGUE;R103;0,12
C0000419;5511942925764;01/09/2026 09:16;ID_CONFIRMADA;R512;0,12
C0000036;5511981259135;29/08/2026 08:40;ENTREGUE;R48;0,12
C0000092;5511952894344;14/09/2026 18:37;ENTREGUE;R122;0,12
C0000226;5511999031246;04/08/2026 16:19;ENTREGUE;R286;0,12
C0000328;5511973918769;05/09/2026 16:46;ENTREGUE;R400;0,12
C0000482;5511999345471;01/09/2026 16:20;ENTREGUE;R591;0,12
C0000376;5511964262755;29/07/2026 15:31;FALHA_ENTREGA;R453;0,12
C0000408;5511929945631;07/09/2026 17:59;ENTREGUE;R502;0,12
C0000085;5511980260907;01/09/2026 11:31;ENTREGUE;R113;0,12
C0000181;5511976596831;23/08/2026 09:23;ENTREGUE;R213;0,12
C0000420;5511913994712;28/07/2026 08:28;ENTREGUE;R514;0,12
C0000425;5511958488507;18/08/2026 08:58;ENTREGUE;R519;0,12
C0000158;5511913600310;02/09/2026 13:39;ENTREGUE;R183;0,12
C0000182;5511919099261;01/08/2026 19:06;ENTREGUE;R218;0,12
C0000418;5511958538289;27/08/2026 17:16;ENTREGUE;R509;0,12
C0000432;5511923332334;15/08/2026 18:22;ENTREGUE;R528;0,12
C0000173;5511969516344;12/09/2026 11:39;ENTREGUE;R203;0,12
C0000495;5511977428032;24/09/2026 17:07;ENTREGUE;R611;0,12
C0000029;5511975529051;09/08/2026 14:27;ENTREGUE;R42;0,12
C0000261;5511975430302;08/09/2026 10:17;ENTREGUE;R326;0,12
C0000009;5511926240908;04/09/2026 11:30;ENTREGUE;R18;0,12
C0000214;5511932200132;12/08/2026 19:33;FALHA_ENTREGA;R271;0,12
C0000055;5511974672520;21/08/2026 12:14;INTERACAO;R76;0,12
C0000054;5511951464269;25/08/2026 17:56;ENTREGUE;R75;0,12
C0000152;5511947342819;31/07/2026 12:14;ENTREGUE;R177;0,12
C0000137;5511975901885;02/08/2026 17:50;ENTREGUE;R166;0,12
C0000122;5511934679818;27/08/2026 12:46;ENTREGUE;R154;0,12
C0000406;5511948243447;05/08/2026 16:56;ENTREGUE;R494;0,12
;5511979552316;31/08/2026 17:17;ENTREGUE;R323;0,12
C0000344;5511982123324;08/09/2026 19:45;ENTREGUE;R420;0,12
C0000309;5511994088862;01/08/2026 15:05;ENTREGUE;R380;0,12
C0000494;5511926952687;01/09/2026 16:47;ENTREGUE;R608;0,12
C0000406;5511930687604;01/09/2026 10:56;REVOGADO;R496;0,12
C0000140;5511972151291;17/09/2026 17:28;ENTREGUE;R168;0,12
C0000259;5511946231955;11/08/2026 15:03;ENTREGUE;R324;0,12
C0000033;5511950477742;12/09/2026 13:13;ENTREGUE;R43;0,12
C0000183;5511987585294;17/08/2026 13:56;ENTREGUE;R222;0,12
C0000264;5511980698159;30/07/2026 17:27;ENTREGUE;R332;0,12
C0000217;5511976091781;04/08/2026 08:30;ID_CONFIRMADA;R274;0,12
C0000192;5511953066216;13/08/2026 18:53;ENTREGUE;R231;0,12
C0000095;5511948124318;30/07/2026 09:30;ENTREGUE;R124;0,12
C0000328;5511981473736;04/08/2026 14:09;ENTREGUE;R401;0,12
C0000392;5511962744287;28/07/2026 19:18;ENTREGUE;R481;0,12
C0000406;5511930687604;08/08/2026 18:31;INTERACAO;R495;0,12
C0000467;5511971995701;19/08/2026 09:30;ENTREGUE;R576;0,12
C0000419;5511942925764;10/08/2026 08:50;INTERACAO;R510;0,12
C0000438;5511926564560;03/08/2026 13:40;ENTREGUE;R539;0,12
C0000189;5511994184877;04/08/2026 17:13;ID_CONFIRMADA;R228;0,12
C0000125;5511929585415;18/09/2026 12:14;FALHA_ENTREGA;R157;0,12
C0000346;5511937140286;15/09/2026 11:49;ENTREGUE;R422;0,12
C0000181;5511920443030;19/08/2026 17:49;ENTREGUE;R215;0,12
C0000389;5511980055957;19/09/2026 13:55;ENTREGUE;R479;0,12
C0000386;5511936930522;02/08/2026 19:00;ENTREGUE;R473;0,12
C0000304;5511980994013;30/07/2026 13:54;ENTREGUE;R373;0,12
C0000358;5511934762712;31/07/2026 09:28;ENTREGUE;R435;0,12
C0000119;5511913051483;03/09/2026 17:40;ENTREGUE;R148;0,12
C0000011;5511957553014;20/09/2026 17:05;ENTREGUE;R19;0,12
C0000372;5511947228730;01/08/2026 10:09;ENTREGUE;R446;0,12
C0000294;5511913516265;14/08/2026 12:02;ENTREGUE;R363;0,12
C0000197;5511979878835;08/08/2026 09:37;ENTREGUE;R239;0,12
C0000209;5511949731424;12/09/2026 12:57;ENTREGUE;R264;0,12
C0000262;5511986723896;09/08/2026 12:00;ENTREGUE;R329;0,12
C0000437;5511910274812;16/08/2026 12:15;ENTREGUE;R535;0,12
C0000258;5511944856447;21/09/2026 15:48;ENTREGUE;R322;0,12
C0000175;5511958199211;19/08/2026 16:19;ENTREGUE;R205;0,12
C0000184;5511914159837;03/09/2026 15:03;ENTREGUE;R223;0,12
C0000491;5511924155900;08/09/2026 11:05;ENTREGUE;R605;0,12
C0000333;5511947216895;02/09/2026 16:56;INTERACAO;R411;0,12
C0000362;5511965782199;31/08/2026 08:26;ENTREGUE;R439;0,12
C0000467;5511971995701;22/08/2026 13:51;ENTREGUE;R575;0,12
C0000317;5511989260394;24/09/2026 10:40;ENTREGUE;R390;0,12
C0000486;5511974142265;19/09/2026 14:00;ENTREGUE;R597;0,12
C0000443;5511940283277;30/08/2026 11:51;ENTREGUE;R546;0,12
C0000314;5511921558774;19/08/2026 13:28;ENTREGUE;R387;0,12
C0000181;5511920443030;18/08/2026 11:13;ENTREGUE;R214;0,12
C0000317;5511983544472;14/09/2026 10:09;ENTREGUE;R391;0,12
C0000382;5511918791292;10/09/2026 08:56;ENTREGUE;R462;0,12
C0000385;5511952057523;31/07/2026 11:42;ENTREGUE;R470;0,12
C0000282;5511986378602;09/08/2026 12:44;ENTREGUE;R355;0,12
C0000171;5511929907683;17/09/2026 11:08;INTERACAO;R197;0,12
C0000003;5511960929647;14/08/2026 17:58;ENTREGUE;R9;0,12
C0000275;5511970315326;03/09/2026 09:07;ENTREGUE;R346;0,12
C0000103;5511954018830;08/09/2026 14:48;ENTREGUE;R135;0,12
C0000406;5511948243447;13/08/2026 16:31;ENTREGUE;R497;0,12
C0000472;5511953309319;07/08/2026 15:15;ENTREGUE;R579;0,12
C0000196;5511996888739;10/09/2026 11:34;ENTREGUE;R235;0,12
C0000140;5511977171380;09/08/2026 10:39;ENTREGUE;R169;0,12
C0000410;5511991074604;12/08/2026 11:04;ENTREGUE;R503;0,12
C0000172;5511984618850;10/08/2026 12:47;ENTREGUE;R199;0,12
C0000088;5511954550177;01/09/2026 14:40;ENTREGUE;R118;0,12
C0000372;5511947228730;02/08/2026 09:13;ENTREGUE;R447;0,12
C0000385;5511952057523;28/08/2026 18:43;ENTREGUE;R468;0,12
C0000476;5511915316025;31/08/2026 13:59;ENTREGUE;R588;0,12
C0000458;5511950194740;09/09/2026 09:49;ENTREGUE;R561;0,12
C0000443;5511940283277;20/08/2026 08:54;ENTREGUE;R547;0,12
C0000240;5511962088975;21/09/2026 10:42;ENTREGUE;R303;0,12
C0000197;5511971605671;04/09/2026 12:41;ENTREGUE;R238;0,12
C0000475;5511926650536;03/09/2026 08:28;ENTREGUE;R585;0,12
C0000330;5511952046364;25/08/2026 09:48;ENTREGUE;R404;0,12
C0000298;5511937102854;05/08/2026 14:56;INTERACAO;R367;0,12
C0000154;5511927705074;03/08/2026 08:45;ENTREGUE;R180;0,12
C0000120;5511942301683;13/08/2026 13:10;INTERACAO;R151;0,12
C0000064;5511970606674;26/08/2026 10:07;ENTREGUE;R85;0,12
C0000006;5511996028436;03/09/2026 14:35;ENTREGUE;R11;0,12
C0000267;5511992304487;10/09/2026 14:16;ENTREGUE;R334;0,12
C0000290;5511954770958;09/08/2026 11:56;ENTREGUE;R359;0,12
C0000388;5511975208604;28/08/2026 11:36;ENTREGUE;R478;0,12
C0000310;5511959873103;05/09/2026 17:35;ENTREGUE;R384;0,12
C0000081;5511917003454;30/07/2026 17:38;ENTREGUE;R100;0,12
C0000341;5511975359668;27/08/2026 12:13;ENTREGUE;R418;0,12
C0000023;5511953779528;21/08/2026 10:20;ID_CONFIRMADA;R35;0,12
C0000178;5511927514010;17/09/2026 10:47;ENTREGUE;R209;0,12
C0000495;5511977428032;27/07/2026 18:33;ENTREGUE;R610;0,12
C0000170;5511930858851;27/08/2026 10:24;ENTREGUE;R195;0,12
C0000183;5511931831387;09/08/2026 14:19;ENTREGUE;R221;0,12
C0000332;5511949536330;07/08/2026 14:39;ENTREGUE;R408;0,12
C0000307;5511996657974;18/09/2026 11:54;ENTREGUE;R374;0,12
C0000178;5511910091737;12/08/2026 17:09;ENTREGUE;R208;0,12
C0000230;5511968119636;13/08/2026 13:16;ENTREGUE;R293;0,12
C0000014;5511919196777;24/08/2026 13:06;ENTREGUE;R27;0,12
C0000493;5511941322048;19/08/2026 10:48;ENTREGUE;R607;0,12
C0000117;5511910404729;11/08/2026 17:56;ENTREGUE;R146;0,12
;5511994328498;13/09/2026 08:08;ENTREGUE;R483;0,12
C0000211;5511986362294;17/09/2026 15:14;ENTREGUE;R268;0,12
C0000456;5511972445215;29/08/2026 14:37;ENTREGUE;R558;0,12
C0000373;5511923245372;22/09/2026 10:01;ENTREGUE;R448;0,12
C0000132;5511941157840;20/08/2026 15:29;ENTREGUE;R162;0,12
C0000147;5511949203644;09/08/2026 08:58;ENTREGUE;R173;0,12
C0000466;5511939159454;31/08/2026 11:09;ENTREGUE;R572;0,12
C0000173;5511969516344;28/07/2026 18:21;ENTREGUE;R202;0,12
C0000150;5511981441519;01/08/2026 13:30;ENTREGUE;R175;0,12
C0000321;5511961212793;26/08/2026 12:43;ENTREGUE;R393;0,12
C0000273;5511981988124;02/08/2026 17:42;ENTREGUE;R343;0,12
C0000407;5511985572241;06/08/2026 12:31;ENTREGUE;R499;0,12
C0000271;5511943999060;31/08/2026 18:10;ENTREGUE;R342;0,12
C0000278;5511941006711;24/09/2026 11:30;ENTREGUE;R351;0,12
;5511940587988;27/07/2026 08:45;ENTREGUE;R6;0,12
C0000361;5511975829146;06/09/2026 09:34;INTERACAO;R438;0,12
C0000362;5511969622247;10/09/2026 09:24;ENTREGUE;R440;0,12
C0000401;5511945400991;20/09/2026 08:29;ENTREGUE;R487;0,12
C0000485;5511935754346;06/09/2026 12:35;ENTREGUE;R595;0,12
C0000084;5511918429833;14/09/2026 18:32;ENTREGUE;R109;0,12
C0000054;5511951464269;25/08/2026 17:56;ENTREGUE;R75;0,12
C0000210;5511925278272;08/08/2026 14:53;ENTREGUE;R267;0,12
C0000460;5511960291405;31/08/2026 17:20;ENTREGUE;R563;0,12
C0000201;5511961226775;09/09/2026 18:04;ENTREGUE;R244;0,12
C0000328;5511925568500;10/08/2026 19:24;FALHA_ENTREGA;R402;0,12
C0000297;5511968995922;26/08/2026 13:33;ENTREGUE;R365;0,12
C0000159;5511958465780;18/09/2026 09:09;ENTREGUE;R187;0,12
C0000190;5511923449152;12/08/2026 19:55;ENTREGUE;R230;0,12
C0000164;5511958852098;03/09/2026 18:29;ENTREGUE;R192;0,12
C0000454;5511999053757;27/08/2026 09:37;ENTREGUE;R555;0,12
C0000023;5511953779528;11/09/2026 17:24;REVOGADO;R34;0,12
C0000012;5511983863413;09/08/2026 11:27;FALHA_ENTREGA;R22;0,12
C0000158;5511913600310;16/09/2026 15:34;ENTREGUE;R184;0,12
C0000073;5511956892354;20/09/2026 12:57;ENTREGUE;R93;0,12
C0000119;5511913051483;16/09/2026 13:36;ENTREGUE;R149;0,12
C0000473;5511911608113;25/08/2026 10:26;ENTREGUE;R583;0,12
