id_cliente;celular;data_envio;status;id_msg;valor
C0000326;11930285078;04/08/2026;DELIVRD;S400;0,07
C0000029;11966240084;15/08/2026;DELIVRD;S43;0,07
C0000115;11959330907;23/09/2026;CLICK;S154;0,07
C0000352;11996996261;16/09/2026;DELIVRD;S432;0,07
C0000408;11950320166;08/09/2026;DELIVRD;S491;0,07
C0000352;11996996261;27/07/2026;CLICK;S431;0,07
;11989134873;10/09/2026;DELIVRD;S300;0,07
C0000148;11982894477;04/09/2026;DELIVRD;S189;0,07
C0000015;11945650176;18/08/2026;DELIVRD;S20;0,07
C0000334;11976800348;31/07/2026;UNDELIV;S417;0,07
C0000320;11927120235;19/09/2026;DELIVRD;S388;0,07
C0000422;11984059443;03/08/2026;DELIVRD;S505;0,07
C0000455;11973586743;11/08/2026;DELIVRD;S552;0,07
C0000050;11922130508;16/09/2026;DELIVRD;S78;0,07
C0000434;11950884443;31/08/2026;DELIVRD;S519;0,07
C0000059;11959302863;27/08/2026;DELIVRD;S92;0,07
C0000118;11961335545;19/09/2026;DELIVRD;S157;0,07
C0000414;11978133743;08/09/2026;DELIVRD;S493;0,07
C0000078;11951551377;21/08/2026;DELIVRD;S108;0,07
C0000494;11926952687;09/09/2026;DELIVRD;S604;0,07
C0000083;11970210270;25/08/2026;DELIVRD;S113;0,07
C0000047;11998575748;07/08/2026;DELIVRD;S74;0,07
C0000468;11931658249;24/09/2026;CLICK;S567;0,07
C0000151;11998032908;11/09/2026;UNDELIV;S192;0,07
C0000363;11986224438;24/08/2026;DELIVRD;S440;0,07
C0000452;11928420515;16/09/2026;DELIVRD;S539;0,07
C0000209;11933448079;30/08/2026;DELIVRD;S262;0,07
C0000465;11956544270;05/08/2026;DELIVRD;S561;0,07
C0000415;11927327046;08/08/2026;DELIVRD;S494;0,07
C0000152;11970665302;10/08/2026;UNDELIV;S196;0,07
C0000491;11924155900;23/08/2026;DELIVRD;S598;0,07
C0000338;11997755782;09/09/2026;UNDELIV;S420;0,07
C0000090;11964520614;12/08/2026;DELIVRD;S125;0,07
C0000230;11964711545;17/08/2026;DELIVRD;S285;0,07
;11922029742;15/09/2026;DELIVRD;S515;0,07
C0000287;11954543739;11/09/2026;DELIVRD;S349;0,07
C0000117;11951361818;09/08/2026;DELIVRD;S156;0,07
C0000413;11918147644;14/09/2026;DELIVRD;S492;0,07
C0000041;11998742485;23/08/2026;DELIVRD;S57;0,07
C0000171;11929907683;22/09/2026;DELIVRD;S220;0,07
C0000375;11975987927;30/08/2026;DELIVRD;S452;0,07
C0000132;11992391596;09/09/2026;DELIVRD;S176;0,07
C0000027;11970407340;11/08/2026;DELIVRD;S39;0,07
C0000000;11913999315;09/08/2026;DELIVRD;S2;0,07
C0000391;11991311077;28/07/2026;DELIVRD;S473;0,07
C0000467;11995747226;14/08/2026;EXPIRED;S564;0,07
C0000429;11941248877;24/08/2026;DELIVRD;S513;0,07
C0000004;11938538251;11/09/2026;DELIVRD;S7;0,07
C0000232;11950004466;18/08/2026;DELIVRD;S291;0,07
C0000043;11946173157;01/08/2026;DELIVRD;S62;0,07
C0000207;11947944260;05/09/2026;DELIVRD;S260;0,07
C0000440;11976305077;23/08/2026;CLICK;S527;0,07
C0000055;11949613214;19/09/2026;DELIVRD;S86;0,07
C0000070;11933581357;13/08/2026;DELIVRD;S100;0,07
C0000345;11917293304;23/09/2026;EXPIRED;S423;0,07
C0000474;11923665188;19/09/2026;DELIVRD;S576;0,07
C0000282;11933206579;08/09/2026;DELIVRD;S345;0,07
C0000148;11982894477;30/07/2026;DELIVRD;S188;0,07
C0000484;11919373966;14/09/2026;DELIVRD;S586;0,07
C0000416;11955329991;15/08/2026;DELIVRD;S495;0,07
C0000378;11972548391;25/08/2026;EXPIRED;S456;0,07
C0000394;11994328498;19/09/2026;DELIVRD;S475;0,07
C0000151;11965243509;31/08/2026;DELIVRD;S193;0,07
C0000226;11999031246;27/07/2026;DELIVRD;S279;0,07
C0000042;11964023778;23/08/2026;DELIVRD;S60;0,07
C0000426;11965958370;24/09/2026;DELIVRD;S510;0,07
C0000042;11964023778;08/08/2026;DELIVRD;S61;0,07
C0000223;11999186817;18/09/2026;UNDELIV;S275;0,07
C0000197;11979878835;03/08/2026;DELIVRD;S246;0,07
C0000041;11945507920;24/08/2026;DELIVRD;S56;0,07
C0000257;11952334540;06/08/2026;DELIVRD;S322;0,07
C0000397;11976323560;31/07/2026;UNDELIV;S479;0,07
C0000287;11954543739;11/09/2026;DELIVRD;S349;0,07
C0000247;11910965569;23/08/2026;DELIVRD;S308;0,07
C0000252;11922101856;15/09/2026;DELIVRD;S317;0,07
C0000223;11999186817;18/09/2026;UNDELIV;S275;0,07
C0000337;11982551667;08/08/2026;DELIVRD;S419;0,07
C0000268;11930421134;08/08/2026;DELIVRD;S332;0,07
C0000022;11968571795;07/09/2026;DELIVRD;S30;0,07
C0000228;11960326016;13/09/2026;DELIVRD;S282;0,07
C0000361;11921727533;21/09/2026;DELIVRD;S438;0,07
C0000298;11970516875;21/09/2026;UNDELIV;S358;0,07
C0000097;11964504816;27/07/2026;DELIVRD;S133;0,07
C0000236;11924607269;10/09/2026;DELIVRD;S295;0,07
C0000374;11976547299;05/08/2026;DELIVRD;S449;0,07
C0000024;11932775593;11/08/2026;CLICK;S33;0,07
C0000454;11999053757;02/08/2026;DELIVRD;S547;0,07
C0000301;11991602221;31/08/2026;DELIVRD;S367;0,07
C0000073;11956892354;30/08/2026;CLICK;S101;0,07
C0000175;11956175477;31/07/2026;DELIVRD;S227;0,07
C0000050;11922130508;23/09/2026;DELIVRD;S76;0,07
C0000364;11995437748;30/08/2026;DELIVRD;S443;0,07
C0000183;11923613510;03/08/2026;DELIVRD;S238;0,07
C0000210;11925278272;13/08/2026;DELIVRD;S263;0,07
C0000130;11946385762;21/08/2026;DELIVRD;S169;0,07
C0000226;11922340723;28/08/2026;DELIVRD;S277;0,07
C0000330;11952046364;29/08/2026;DELIVRD;S410;0,07
C0000440;11924890990;30/07/2026;DELIVRD;S528;0,07
C0000474;11986397410;04/08/2026;DELIVRD;S575;0,07
C0000330;11952046364;03/08/2026;DELIVRD;S409;0,07
C0000352;11996996261;05/08/2026;DELIVRD;S435;0,07
C0000289;11941026926;05/08/2026;DELIVRD;S351;0,07
C0000045;11979583757;01/09/2026;DELIVRD;S68;0,07
C0000460;11927226260;02/08/2026;DELIVRD;S556;0,07
C0000001;11955176955;31/08/2026;UNDELIV;S3;0,07
C0000416;11955329991;21/08/2026;DELIVRD;S497;0,07
C0000300;11930144703;01/08/2026;DELIVRD;S364;0,07
C0000001;11966722344;20/09/2026;DELIVRD;S4;0,07
C0000229;11968416623;07/09/2026;DELIVRD;S284;0,07
C0000137;11962738860;09/09/2026;DELIVRD;S179;0,07
C0000499;11914562440;22/09/2026;UNDELIV;S609;0,07
C0000333;11944660198;06/08/2026;DELIVRD;S415;0,07
C0000454;11938083391;13/09/2026;DELIVRD;S549;0,07
C0000175;11912621269;31/07/2026;DELIVRD;S226;0,07
C0000138;11950645509;31/08/2026;DELIVRD;S180;0,07
C0000191;11963917932;28/07/2026;UNDELIV;S242;0,07
C0000007;11950056581;13/08/2026;DELIVRD;S11;0,07
C0000201;11961226775;13/09/2026;DELIVRD;S249;0,07
C0000043;11946173157;06/08/2026;DELIVRD;S65;0,07
C0000243;11986808685;29/07/2026;CLICK;S304;0,07
C0000058;11982503409;23/08/2026;DELIVRD;S88;0,07
C0000113;11974082804;29/07/2026;DELIVRD;S151;0,07
C0000156;11923851475;21/08/2026;DELIVRD;S200;0,07
C0000301;11991602221;22/08/2026;DELIVRD;S366;0,07
C0000395;11944987861;14/09/2026;DELIVRD;S478;0,07
C0000257;11952334540;12/08/2026;DELIVRD;S324;0,07
C0000052;11943567615;17/08/2026;DELIVRD;S82;0,07
C0000037;11958436637;21/09/2026;DELIVRD;S47;0,07
C0000455;11988380820;30/08/2026;DELIVRD;S551;0,07
C0000013;11987736262;20/08/2026;DELIVRD;S15;0,07
C0000256;11941522559;18/08/2026;DELIVRD;S321;0,07
C0000078;11951551377;15/08/2026;DELIVRD;S107;0,07
C0000227;11942258945;21/08/2026;DELIVRD;S281;0,07
C0000077;11994676162;27/08/2026;DELIVRD;S105;0,07
C0000162;11956533974;28/08/2026;DELIVRD;S210;0,07
C0000231;11948901209;25/08/2026;DELIVRD;S290;0,07
C0000386;11968436893;08/09/2026;DELIVRD;S468;0,07
C0000298;11970516875;23/08/2026;UNDELIV;S360;0,07
C0000456;11972445215;29/07/2026;DELIVRD;S553;0,07
C0000285;11967722445;05/09/2026;DELIVRD;S347;0,07
C0000004;11938538251;05/08/2026;DELIVRD;S8;0,07
C0000327;11989932574;04/09/2026;DELIVRD;S403;0,07
C0000175;11958199211;31/07/2026;DELIVRD;S224;0,07
C0000324;11999085263;29/07/2026;DELIVRD;S397;0,07
C0000127;11941062464;30/07/2026;UNDELIV;S166;0,07
C0000146;11911286267;09/08/2026;DELIVRD;S184;0,07
C0000495;11977428032;20/09/2026;DELIVRD;S605;0,07
C0000008;11986149359;01/08/2026;DELIVRD;S12;0,07
C0000003;11981691040;16/09/2026;DELIVRD;S6;0,07
C0000322;11997025331;25/08/2026;DELIVRD;S394;0,07
C0000159;11958465780;10/08/2026;DELIVRD;S204;0,07
C0000269;11929607576;05/09/2026;UNDELIV;S334;0,07
C0000160;11911851322;16/09/2026;DELIVRD;S208;0,07
C0000028;11938716269;06/09/2026;DELIVRD;S40;0,07
C0000122;11965902739;31/08/2026;DELIVRD;S162;0,07
C0000122;11934679818;05/09/2026;DELIVRD;S161;0,07
C0000103;11954018830;18/08/2026;DELIVRD;S142;0,07
C0000349;11939260335;23/09/2026;DELIVRD;S427;0,07
C0000141;11923102741;23/09/2026;DELIVRD;S182;0,07
C0000017;11947816686;04/09/2026;DELIVRD;S22;0,07
C0000476;11913180065;14/09/2026;DELIVRD;S577;0,07
C0000417;11979174131;22/08/2026;DELIVRD;S499;0,07
C0000385;11983492593;24/09/2026;DELIVRD;S463;0,07
C0000249;11955424358;20/08/2026;DELIVRD;S313;0,07
C0000217;11976091781;12/08/2026;DELIVRD;S268;0,07
C0000247;11910965569;31/08/2026;DELIVRD;S309;0,07
C0000271;11943999060;10/09/2026;DELIVRD;S337;0,07
C0000247;11952399610;01/09/2026;DELIVRD;S310;0,07
C0000048;11915858241;23/08/2026;DELIVRD;S75;0,07
C0000251;11932747608;25/08/2026;DELIVRD;S315;0,07
C0000257;11987110685;07/08/2026;DELIVRD;S323;0,07
C0000175;11956175477;31/07/2026;DELIVRD;S227;0,07
C0000305;11994806492;31/07/2026;DELIVRD;S374;0,07
C0000113;11974082804;23/08/2026;DELIVRD;S150;0,07
C0000085;11999170406;18/09/2026;DELIVRD;S116;0,07
C0000181;11976596831;13/09/2026;DELIVRD;S235;0,07
C0000289;11941026926;30/08/2026;DELIVRD;S352;0,07
C0000038;11925312516;15/08/2026;DELIVRD;S51;0,07
C0000130;11946385762;19/08/2026;DELIVRD;S173;0,07
C0000437;11927948365;31/07/2026;DELIVRD;S521;0,07
C0000046;11974759996;08/08/2026;DELIVRD;S71;0,07
C0000485;11934525524;15/09/2026;DELIVRD;S587;0,07
C0000332;11949536330;02/09/2026;DELIVRD;S411;0,07
C0000203;11961447859;31/07/2026;UNDELIV;S254;0,07
C0000386;11930196097;11/09/2026;DELIVRD;S467;0,07
C0000181;11920443030;02/08/2026;DELIVRD;S236;0,07
C0000106;11933244151;28/07/2026;DELIVRD;S144;0,07
C0000032;11925372341;31/07/2026;DELIVRD;S45;0,07
C0000395;11953967101;04/09/2026;DELIVRD;S476;0,07
C0000130;11946385762;27/07/2026;DELIVRD;S171;0,07
C0000333;11947216895;01/08/2026;DELIVRD;S412;0,07
C0000405;11996388439;20/08/2026;DELIVRD;S489;0,07
C0000443;11940283277;13/08/2026;DELIVRD;S533;0,07
C0000130;11946385762;10/09/2026;DELIVRD;S172;0,07
C0000019;11938195995;09/08/2026;DELIVRD;S26;0,07
C0000025;11961536717;28/08/2026;DELIVRD;S34;0,07
C0000327;11989932574;08/08/2026;DELIVRD;S404;0,07
C0000128;11934060788;10/09/2026;UNDELIV;S168;0,07
C0000401;11945328305;17/09/2026;DELIVRD;S483;0,07
C0000302;11954440977;14/09/2026;DELIVRD;S368;0,07
C0000443;11940283277;18/09/2026;DELIVRD;S532;0,07
C0000398;11959611937;31/08/2026;DELIVRD;S480;0,07
C0000424;11988060201;19/08/2026;DELIVRD;S507;0,07
C0000081;11928575536;01/09/2026;DELIVRD;S111;0,07
C0000455;11988380820;13/09/2026;DELIVRD;S550;0,07
C0000287;11954543739;04/09/2026;DELIVRD;S348;0,07
C0000278;11941006711;25/08/2026;DELIVRD;S343;0,07
C0000025;11971124923;12/09/2026;DELIVRD;S35;0,07
C0000218;11994992096;12/09/2026;DELIVRD;S269;0,07
C0000466;11939159454;20/09/2026;DELIVRD;S562;0,07
C0000175;11994658420;22/09/2026;DELIVRD;S228;0,07
C0000162;11951512209;21/09/2026;CLICK;S211;0,07
C0000113;11974082804;15/08/2026;DELIVRD;S149;0,07
C0000195;11916664050;14/09/2026;DELIVRD;S243;0,07
C0000165;11952940967;24/09/2026;DELIVRD;S215;0,07
C0000395;11944987861;03/09/2026;DELIVRD;S477;0,07
C0000160;11911851322;18/09/2026;DELIVRD;S209;0,07
C0000269;11929607576;24/09/2026;UNDELIV;S335;0,07
C0000014;11919196777;04/09/2026;DELIVRD;S17;0,07
C0000496;11930495346;04/08/2026;EXPIRED;S607;0,07
C0000020;11913326769;29/07/2026;DELIVRD;S28;0,07
C0000485;11935754346;22/08/2026;DELIVRD;S588;0,07
C0000089;11934220459;28/07/2026;DELIVRD;S124;0,07
C0000418;11958538289;17/09/2026;DELIVRD;S500;0,07
C0000271;11943999060;10/08/2026;DELIVRD;S336;0,07
C0000448;11929545414;06/08/2026;UNDELIV;S536;0,07
C0000240;11916232730;11/08/2026;DELIVRD;S302;0,07
C0000090;11991547054;21/08/2026;DELIVRD;S126;0,07
C0000236;11924607269;11/08/2026;DELIVRD;S296;0,07
C0000153;11948063218;23/09/2026;DELIVRD;S197;0,07
C0000021;11954058573;24/08/2026;DELIVRD;S29;0,07
C0000346;11986325036;30/07/2026;UNDELIV;S426;0,07
C0000287;11924935479;18/08/2026;DELIVRD;S350;0,07
C0000122;11965902739;19/09/2026;DELIVRD;S160;0,07
C0000244;11934412077;31/07/2026;DELIVRD;S305;0,07
C0000453;11927554964;13/09/2026;DELIVRD;S546;0,07
C0000148;11982894477;04/09/2026;DELIVRD;S189;0,07
C0000321;11961212793;17/09/2026;DELIVRD;S390;0,07
C0000230;11968119636;27/07/2026;DELIVRD;S287;0,07
C0000239;11986015183;08/09/2026;DELIVRD;S301;0,07
C0000130;11946385762;25/08/2026;DELIVRD;S170;0,07
C0000183;11987585294;13/08/2026;DELIVRD;S237;0,07
C0000374;11976547299;15/09/2026;DELIVRD;S448;0,07
C0000006;11996028436;27/07/2026;EXPIRED;S9;0,07
C0000059;11959302863;09/08/2026;DELIVRD;S91;0,07
C0000494;11939815335;14/08/2026;UNDELIV;S602;0,07
C0000206;11930552371;15/09/2026;DELIVRD;S259;0,07
C0000445;11969313284;28/07/2026;DELIVRD;S534;0,07
C0000494;11952901755;21/08/2026;DELIVRD;S600;0,07
C0000463;11974189781;12/09/2026;DELIVRD;S560;0,07
C0000158;11913600310;14/08/2026;DELIVRD;S203;0,07
C0000236;11950999730;06/09/2026;DELIVRD;S299;0,07
C0000437;11927948365;31/07/2026;DELIVRD;S521;0,07
C0000221;11925489430;09/09/2026;DELIVRD;S272;0,07
C0000069;11916095815;16/09/2026;DELIVRD;S98;0,07
C0000151;11998032908;27/08/2026;UNDELIV;S194;0,07
C0000085;11980260907;18/09/2026;DELIVRD;S117;0,07
C0000015;11945650176;16/09/2026;DELIVRD;S18;0,07
C0000173;11969516344;15/08/2026;DELIVRD;S222;0,07
C0000119;11913051483;27/07/2026;DELIVRD;S159;0,07
C0000364;11972203452;23/08/2026;DELIVRD;S442;0,07
C0000304;11938164968;21/08/2026;DELIVRD;S371;0,07
C0000039;11980138498;10/09/2026;CLICK;S52;0,07
C0000037;11916109013;13/09/2026;DELIVRD;S48;0,07
C0000463;11974189781;12/09/2026;DELIVRD;S560;0,07
C0000405;11996388439;01/08/2026;DELIVRD;S488;0,07
C0000271;11943999060;03/08/2026;DELIVRD;S338;0,07
C0000216;11990524080;08/09/2026;DELIVRD;S267;0,07
C0000271;11943999060;03/08/2026;DELIVRD;S338;0,07
C0000041;11936550845;03/08/2026;DELIVRD;S55;0,07
C0000054;11951464269;18/08/2026;DELIVRD;S85;0,07
C0000017;11984252420;27/08/2026;DELIVRD;S25;0,07
C0000403;11934247098;10/09/2026;DELIVRD;S487;0,07
C0000282;11933206579;28/08/2026;DELIVRD;S346;0,07
C0000374;11926591378;19/08/2026;DELIVRD;S450;0,07
C0000379;11960511038;10/08/2026;EXPIRED;S457;0,07
C0000095;11948124318;30/07/2026;EXPIRED;S130;0,07
C0000481;11936068867;25/08/2026;DELIVRD;S581;0,07
C0000181;11920443030;08/08/2026;DELIVRD;S234;0,07
C0000061;11927447248;09/08/2026;DELIVRD;S93;0,07
C0000180;11992370625;09/09/2026;DELIVRD;S231;0,07
C0000197;11923732098;07/09/2026;UNDELIV;S245;0,07
C0000203;11981274148;15/08/2026;DELIVRD;S253;0,07
C0000147;11949203644;20/08/2026;DELIVRD;S185;0,07
C0000044;11965250068;29/08/2026;DELIVRD;S66;0,07
C0000100;11990197611;07/08/2026;DELIVRD;S136;0,07
C0000302;11954440977;15/09/2026;DELIVRD;S369;0,07
C0000382;11918791292;30/08/2026;DELIVRD;S460;0,07
C0000251;11978524572;04/08/2026;DELIVRD;S316;0,07
C0000085;11999170406;18/09/2026;DELIVRD;S116;0,07
C0000241;11991095825;13/09/2026;UNDELIV;S303;0,07
C0000080;11965144509;27/08/2026;DELIVRD;S109;0,07
C0000127;11939356057;28/07/2026;DELIVRD;S167;0,07
C0000377;11940980376;24/09/2026;DELIVRD;S454;0,07
C0000047;11998575748;02/09/2026;DELIVRD;S73;0,07
C0000394;11910412827;02/08/2026;DELIVRD;S474;0,07
C0000457;11923208247;14/09/2026;DELIVRD;S554;0,07
C0000084;11918429833;30/08/2026;DELIVRD;S114;0,07
C0000263;11920746107;20/08/2026;DELIVRD;S330;0,07
C0000134;11984386123;09/08/2026;DELIVRD;S178;0,07
C0000253;11977946127;23/08/2026;DELIVRD;S318;0,07
C0000196;11996888739;09/09/2026;DELIVRD;S244;0,07
C0000485;11934525524;16/09/2026;DELIVRD;S589;0,07
C0000472;11953309319;09/08/2026;DELIVRD;S573;0,07
C0000178;11927514010;03/08/2026;DELIVRD;S229;0,07
C0000227;11942258945;09/09/2026;DELIVRD;S280;0,07
C0000359;11973607213;25/08/2026;DELIVRD;S437;0,07
C0000031;11943859311;20/09/2026;DELIVRD;S44;0,07
C0000377;11978640894;09/09/2026;DELIVRD;S455;0,07
C0000158;11935319707;22/09/2026;DELIVRD;S202;0,07
C0000058;11982503409;20/08/2026;DELIVRD;S89;0,07
C0000440;11924890990;04/08/2026;DELIVRD;S530;0,07
C0000337;11975663681;17/08/2026;DELIVRD;S418;0,07
C0000432;11923332334;22/09/2026;DELIVRD;S516;0,07
C0000352;11996996261;30/07/2026;CLICK;S434;0,07
C0000095;11940262109;15/08/2026;DELIVRD;S129;0,07
C0000458;11982897088;19/08/2026;DELIVRD;S555;0,07
C0000468;11931658249;24/09/2026;CLICK;S567;0,07
C0000229;11968416623;17/09/2026;DELIVRD;S283;0,07
C0000494;11926952687;12/09/2026;DELIVRD;S601;0,07
C0000388;11996475652;16/09/2026;DELIVRD;S471;0,07
C0000023;11993638503;27/08/2026;DELIVRD;S32;0,07
C0000375;11959317149;19/09/2026;DELIVRD;S451;0,07
C0000471;11955247029;20/08/2026;DELIVRD;S570;0,07
C0000038;11925312516;23/08/2026;DELIVRD;S50;0,07
C0000301;11970899748;18/08/2026;DELIVRD;S365;0,07
C0000020;11913326769;04/08/2026;DELIVRD;S27;0,07
C0000316;11971906810;16/09/2026;DELIVRD;S385;0,07
C0000046;11971934487;11/09/2026;DELIVRD;S70;0,07
C0000260;11963472598;15/08/2026;DELIVRD;S325;0,07
C0000452;11928420515;08/09/2026;DELIVRD;S540;0,07
C0000199;11978090647;10/09/2026;DELIVRD;S247;0,07
C0000403;11934247098;30/08/2026;DELIVRD;S485;0,07
C0000097;11964504816;01/08/2026;DELIVRD;S132;0,07
C0000435;11997652074;19/08/2026;DELIVRD;S520;0,07
C0000203;11981274148;21/08/2026;DELIVRD;S250;0,07
C0000261;11975430302;14/09/2026;DELIVRD;S328;0,07
C0000482;11971132251;06/08/2026;DELIVRD;S584;0,07
;11929907683;19/09/2026;DELIVRD;S218;0,07
C0000019;11938195995;09/08/2026;DELIVRD;S26;0,07
C0000261;11975430302;01/08/2026;DELIVRD;S327;0,07
C0000233;11938418851;31/07/2026;DELIVRD;S294;0,07
C0000190;11911659440;23/09/2026;DELIVRD;S240;0,07
C0000171;11929907683;28/07/2026;DELIVRD;S219;0,07
C0000375;11975987927;05/08/2026;DELIVRD;S453;0,07
C0000274;11958072427;21/09/2026;DELIVRD;S340;0,07
C0000171;11929907683;01/09/2026;DELIVRD;S221;0,07
C0000220;11983525272;18/08/2026;DELIVRD;S271;0,07
C0000043;11946173157;28/08/2026;DELIVRD;S64;0,07
C0000298;11937102854;10/09/2026;DELIVRD;S359;0,07
C0000307;11974304823;20/08/2026;DELIVRD;S377;0,07
C0000486;11974142265;24/08/2026;CLICK;S592;0,07
C0000068;11953537934;17/09/2026;DELIVRD;S96;0,07
C0000083;11912550658;21/09/2026;DELIVRD;S112;0,07
C0000312;11923838227;22/08/2026;DELIVRD;S381;0,07
C0000439;11958025924;22/09/2026;DELIVRD;S526;0,07
;11956023301;09/08/2026;DELIVRD;S535;0,07
C0000253;11977946127;30/08/2026;DELIVRD;S319;0,07
C0000092;11969741812;29/07/2026;DELIVRD;S127;0,07
C0000298;11937102854;29/08/2026;DELIVRD;S357;0,07
C0000440;11924890990;15/08/2026;DELIVRD;S529;0,07
C0000453;11927554964;21/08/2026;DELIVRD;S545;0,07
C0000486;11974142265;07/09/2026;DELIVRD;S590;0,07
C0000037;11981690398;22/08/2026;DELIVRD;S49;0,07
C0000105;11935606639;17/08/2026;DELIVRD;S143;0,07
C0000081;11917003454;10/08/2026;DELIVRD;S110;0,07
C0000278;11938977615;01/08/2026;DELIVRD;S342;0,07
C0000148;11982894477;21/09/2026;DELIVRD;S187;0,07
C0000324;11947503167;14/09/2026;DELIVRD;S398;0,07
C0000084;11918429833;05/09/2026;DELIVRD;S115;0,07
C0000385;11983492593;06/08/2026;DELIVRD;S466;0,07
C0000101;11958657117;01/08/2026;DELIVRD;S137;0,07
C0000110;11922007214;02/08/2026;DELIVRD;S147;0,07
C0000481;11936068867;21/09/2026;DELIVRD;S582;0,07
;11927120235;07/08/2026;DELIVRD;S389;0,07
C0000273;11981988124;21/08/2026;DELIVRD;S339;0,07
