CPF_CLIENTE;TELEFONE;DT_LIGACAO;COD_TABULACAO;ID_CHAMADA;CUSTO
100.000.025-77;(11) 99805-4615;17/08/2026 17:31;11;CH0000043;0,35
100.000.345-09;(11) 91729-3304;01/08/2026 12:16;10;CH0000498;0,35
100.000.249-70;(11) 95542-4358;28/07/2026 11:29;12;CH0000345;0,35
100.000.288-86;(11) 94811-9652;16/08/2026 16:55;01;CH0000408;0,35
100.000.005-23;(11) 91632-3852;31/08/2026 08:38;11;CH0000019;0,35
100.000.097-41;(11) 97233-6371;28/07/2026 13:48;01;CH0000116;0,35
100.000.486-40;(11) 97414-2265;11/09/2026 10:34;01;CH0000686;0,35
100.000.395-78;(11) 94498-7861;06/09/2026 08:13;01;CH0000566;0,35
100.000.264-09;(11) 91383-4774;13/08/2026 10:52;02;CH0000372;0,35
100.000.243-84;(11) 98680-8685;03/08/2026 13:56;01;CH0000337;0,35
100.000.101-62;(11) 95865-7117;31/07/2026 13:27;10;CH0000123;0,35
100.000.333-75;(11) 94466-0198;27/07/2026 10:02;01;CH0000479;0,35
100.000.282-90;(11) 93320-6579;13/08/2026 15:17;01;CH0000400;0,35
100.000.102-43;(11) 96286-8861;20/09/2026 16:30;01;CH0000128;0,35
100.000.487-20;(11) 96042-1010;02/08/2026 18:01;01;CH0000689;0,35
100.000.220-98;(11) 98430-0459;22/09/2026 11:20;01;CH0000307;0,35
100.000.187-32;(11) 98915-1743;07/09/2026 12:25;12;CH0000248;0,35
100.000.083-47;(11) 97021-0270;20/09/2026 19:31;01;CH0000103;0,35
100.000.171-75;(11) 92990-7683;23/08/2026 18:01;01;CH0000226;0,35
100.000.120-25;(11) 96891-6591;15/09/2026 16:56;11;CH0000154;0,35
100.000.090-75;(11) 96452-0614;17/09/2026 08:34;01;CH0000108;0,35
100.000.256-07;(11) 94562-2106;10/08/2026 17:08;01;CH0000358;0,35
100.000.294-24;(11) 99213-8779;24/08/2026 13:29;01;CH0000415;0,35
100.000.259-41;(11) 98669-3314;24/08/2026 09:46;02;CH0000361;0,35
100.000.374-43;(11) 92659-1378;09/08/2026 19:43;01;CH0000530;0,35
100.000.477-59;(11) 93583-2275;11/09/2026 11:11;02;CH0000674;0,35
100.000.266-70;(11) 99012-8487;01/09/2026 16:35;01;CH0000374;0,35
100.000.119-91;(11) 91305-1483;15/08/2026 16:54;11;CH0000153;0,35
100.000.368-03;(11) 98498-1433;18/09/2026 08:05;01;CH0000526;0,35
100.000.459-77;(11) 97367-8024;07/09/2026 10:50;01;CH0000645;0,35
100.000.027-39;(11) 97040-7340;20/09/2026 18:36;01;CH0000047;0,35
100.000.392-25;(11) 92638-1779;01/08/2026 17:49;01;CH0000557;0,35
100.000.281-00;(11) 91291-2708;17/09/2026 15:27;01;CH0000397;0,35
100.000.072-93;(11) 94265-7384;22/08/2026 18:22;11;CH0000098;0,35
100.000.379-58;(11) 96051-1038;16/08/2026 09:05;01;CH0000537;0,35
100.000.159-89;(11) 95846-5780;08/08/2026 16:24;01;CH0000208;0,35
100.000.358-23;(11) 98711-1463;25/08/2026 10:34;02;CH0000511;0,35
100.000.309-45;(11) 99408-8862;01/08/2026 12:39;01;CH0000445;0,35
100.000.439-23;(11) 91265-5050;10/09/2026 19:48;11;CH0000620;0,35
100.000.304-30;(11) 92467-0297;13/09/2026 15:24;01;CH0000433;0,35
100.000.210-16;(11) 94648-4819;07/09/2026 18:51;12;CH0000287;0,35
100.000.247-08;(11) 91096-5569;26/08/2026 08:09;01;CH0000342;0,35
100.000.029-09;(11) 96624-0084;20/08/2026 17:55;01;CH0000049;0,35
100.000.453-81;(11) 92755-4964;28/08/2026 18:14;11;CH0000640;0,35
100.000.151-21;(11) 96524-3509;04/09/2026 17:58;12;CH0000194;0,35
100.000.196-23;(11) 99688-8739;27/08/2026 08:03;01;CH0000264;0,35
100.000.123-78;(11) 93525-4849;24/09/2026 14:51;10;CH0000159;0,35
100.000.250-03;(11) 99240-5066;08/09/2026 16:01;01;CH0000347;0,35
100.000.480-54;(11) 93626-8523;24/08/2026 15:01;01;CH0000677;0,35
100.000.166-08;(11) 94255-9072;27/07/2026 17:01;10;CH0000219;0,35
100.000.039-72;(11) 98013-8498;14/09/2026 08:20;10;CH0000059;0,35
100.000.135-01;(11) 96110-0987;16/08/2026 09:53;01;CH0000173;0,35
100.000.128-82;(11) 93406-0788;15/09/2026 11:55;02;CH0000165;0,35
100.000.068-07;(11) 95575-4284;22/09/2026 08:17;11;CH0000094;0,35
100.000.498-83;(11) 95861-7120;19/09/2026 13:10;01;CH0000703;0,35
100.000.000-19;(11) 91399-9315;29/07/2026 19:28;11;CH0000001;0,35
100.000.191-19;(11) 96391-7932;31/08/2026 08:00;02;CH0000258;0,35
100.000.279-95;(11) 97156-8435;24/08/2026 14:45;01;CH0000395;0,35
100.000.276-42;(11) 96500-3032;17/08/2026 18:06;01;CH0000390;0,35
100.000.176-80;(11) 93142-4479;19/09/2026 13:42;02;CH0000237;0,35
100.000.218-73;(11) 96562-9268;06/09/2026 12:24;01;CH0000304;0,35
100.000.316-74;(11) 92515-1444;17/08/2026 10:06;10;CH0000455;0,35
100.000.147-45;(11) 94920-3644;29/07/2026 14:29;10;CH0000186;0,35
100.000.319-17;(11) 96234-2586;30/08/2026 15:43;01;CH0000457;0,35
100.000.180-66;(11) 99237-0625;28/08/2026 15:58;01;CH0000241;0,35
100.000.487-20;(11) 96042-1010;30/07/2026 16:49;11;CH0000688;0,35
100.000.489-92;(11) 91223-2081;30/08/2026 18:41;12;CH0000692;0,35
100.000.345-09;(11) 91729-3304;04/09/2026 16:37;01;CH0000499;0,35
100.000.010-90;(11) 91951-0312;08/09/2026 08:56;01;CH0000025;0,35
100.000.117-20;(11) 97085-8653;06/08/2026 17:47;02;CH0000152;0,35
100.000.293-43;(11) 91395-7187;01/09/2026 18:00;10;CH0000412;0,35
100.000.333-75;(11) 94721-6895;24/08/2026 14:06;01;CH0000476;0,35
100.000.203-97;(11) 96144-7859;04/08/2026 16:35;02;CH0000275;0,35
100.000.061-30;(11) 92744-7248;31/08/2026 08:18;01;CH0000084;0,35
100.000.175-07;(11) 95819-9211;06/09/2026 17:55;01;CH0000233;0,35
100.000.230-60;(11) 96471-1545;29/08/2026 14:59;12;CH0000316;0,35
100.000.327-27;(11) 98993-2574;19/08/2026 11:36;01;CH0000469;0,35
100.000.036-20;(11) 98387-1890;17/08/2026 18:13;10;CH0000054;0,35
100.000.362-00;(11) 96962-2247;20/09/2026 14:34;10;CH0000518;0,35
100.000.394-97;(11) 91041-2827;22/08/2026 18:02;01;CH0000563;0,35
100.000.116-40;(11) 92098-8446;08/08/2026 13:40;01;CH0000147;0,35
100.000.102-43;(11) 96286-8861;12/09/2026 15:44;01;CH0000126;0,35
100.000.196-23;(11) 99688-8739;21/08/2026 12:49;11;CH0000262;0,35
100.000.275-61;(11) 97031-5326;20/08/2026 09:43;01;CH0000386;0,35
100.000.482-16;(11) 95850-8204;31/08/2026 13:37;01;CH0000679;0,35
100.000.222-50;(11) 94961-3096;21/09/2026 17:37;12;CH0000309;0,35
100.000.485-69;(11) 93575-4346;18/08/2026 11:03;01;CH0000682;0,35
100.000.205-59;(11) 92761-0141;24/09/2026 12:48;01;CH0000280;0,35
100.000.268-32;(11) 91110-1134;01/09/2026 09:53;01;CH0000379;0,35
100.000.462-72;(11) 97558-0570;20/09/2026 15:09;01;CH0000648;0,35
100.000.386-87;(11) 98598-2862;05/09/2026 12:41;01;CH0000546;0,35
100.000.335-37;(11) 91940-8620;28/08/2026 18:12;12;CH0000483;0,35
100.000.254-37;(11) 97158-5593;03/09/2026 19:43;01;CH0000350;0,35
100.000.160-12;(11) 91185-1322;18/08/2026 09:29;01;CH0000210;0,35
100.000.328-08;(11) 92556-8500;19/08/2026 18:52;02;CH0000470;0,35
100.000.125-30;(11) 98838-7434;13/08/2026 16:51;10;CH0000161;0,35
100.000.235-74;(11) 93597-0938;01/08/2026 08:47;01;CH0000322;0,35
100.000.051-69;(11) 99180-4602;29/08/2026 19:55;01;CH0000074;0,35
100.000.215-20;(11) 98477-6858;31/07/2026 08:49;01;CH0000300;0,35
100.000.218-73;(11) 99499-2096;27/08/2026 09:44;12;CH0000303;0,35
100.000.239-06;(11) 98601-5183;11/09/2026 12:53;01;CH0000332;0,35
100.000.230-60;(11) 96471-1545;17/08/2026 16:27;12;CH0000317;0,35
100.000.115-68;(11) 95933-0907;12/09/2026 11:22;10;CH0000145;0,35
100.000.426-09;(11) 94539-2370;27/07/2026 11:33;12;CH0000608;0,35
100.000.286-14;(11) 91602-3362;24/08/2026 16:56;01;CH0000406;0,35
100.000.388-49;(11) 92126-4832;30/08/2026 18:10;01;CH0000552;0,35
100.000.440-67;(11) 97630-5077;11/08/2026 09:13;01;CH0000624;0,35
100.000.087-70;(11) 93677-2387;31/08/2026 18:35;12;CH0000104;0,35
100.000.401-50;(11) 93214-3753;05/09/2026 08:36;01;CH0000569;0,35
100.000.386-87;(11) 96843-6893;28/07/2026 18:48;10;CH0000542;0,35
100.000.129-63;(11) 96090-3955;23/09/2026 14:43;01;CH0000168;0,35
100.000.412-03;(11) 97033-3053;14/08/2026 14:05;12;CH0000594;0,35
100.000.223-30;(11) 96591-0573;14/09/2026 17:12;10;CH0000311;0,35
100.000.274-80;(11) 95807-2427;09/09/2026 19:49;01;CH0000382;0,35
100.000.337-07;(11) 98255-1667;16/09/2026 14:50;12;CH0000486;0,35
100.000.018-48;(11) 96930-2158;28/07/2026 10:10;01;CH0000033;0,35
100.000.279-95;(11) 97156-8435;24/08/2026 14:45;01;CH0000395;0,35
100.000.114-87;(11) 94171-5995;10/09/2026 18:26;01;CH0000143;0,35
100.000.451-10;(11) 91589-2805;24/09/2026 17:59;01;CH0000636;0,35
100.000.301-98;(11) 97089-9748;31/07/2026 16:04;01;CH0000429;0,35
100.000.097-41;(11) 96450-4816;19/09/2026 08:27;01;CH0000114;0,35
100.000.151-21;(11) 96524-3509;04/09/2026 17:58;12;CH0000194;0,35
100.000.244-65;(11) 93251-1225;22/09/2026 17:19;11;CH0000338;0,35
100.000.256-07;(11) 94562-2106;13/08/2026 08:20;01;CH0000359;0,35
100.000.256-07;(11) 94562-2106;22/09/2026 14:53;01;CH0000357;0,35
100.000.136-92;(11) 96310-8878;29/08/2026 12:46;01;CH0000176;0,35
100.000.387-68;(11) 94296-2076;29/08/2026 17:27;12;CH0000548;0,35
100.000.174-18;(11) 94690-7428;19/09/2026 17:11;11;CH0000229;0,35
100.000.354-08;(11) 92171-8382;22/08/2026 08:51;11;CH0000507;0,35
100.000.402-31;(11) 93195-1974;10/09/2026 09:06;01;CH0000572;0,35
100.000.476-78;(11) 91531-6025;04/08/2026 13:24;12;CH0000671;0,35
100.000.147-45;(11) 94920-3644;05/09/2026 11:06;01;CH0000188;0,35
100.000.442-29;(11) 97651-4912;29/07/2026 13:39;11;CH0000628;0,35
100.000.333-75;(11) 94466-0198;14/09/2026 14:41;01;CH0000477;0,35
100.000.025-77;(11) 96153-6717;10/08/2026 12:11;12;CH0000042;0,35
100.000.210-16;(11) 92247-5714;14/08/2026 13:08;01;CH0000286;0,35
100.000.113-04;(11) 97408-2804;01/09/2026 09:28;01;CH0000142;0,35
100.000.292-62;(11) 98798-4620;03/09/2026 08:45;11;CH0000411;0,35
100.000.335-37;(11) 95817-3202;02/08/2026 14:38;01;CH0000481;0,35
100.000.087-70;(11) 91496-3880;22/09/2026 12:28;01;CH0000105;0,35
100.000.417-18;(11) 91676-7531;20/09/2026 16:33;12;CH0000598;0,35
100.000.336-18;(11) 99868-2228;15/09/2026 11:37;01;CH0000484;0,35
100.000.057-54;(11) 95055-9278;27/08/2026 13:57;01;CH0000081;0,35
100.000.405-84;(11) 99638-8439;21/08/2026 08:52;01;CH0000579;0,35
100.000.235-74;(11) 97048-4679;07/08/2026 16:02;12;CH0000321;0,35
100.000.117-20;(11) 98568-6878;30/08/2026 15:54;02;CH0000150;0,35
100.000.057-54;(11) 95055-9278;07/09/2026 13:08;99;CH0000082;0,35
100.000.466-04;(11) 93915-9454;06/09/2026 14:11;01;CH0000655;0,35
100.000.413-94;(11) 97548-5030;03/08/2026 10:39;01;CH0000596;0,35
100.000.337-07;(11) 98255-1667;17/09/2026 09:10;01;CH0000488;0,35
100.000.394-97;(11) 91041-2827;21/09/2026 17:46;10;CH0000564;0,35
100.000.198-95;(11) 92878-1020;28/07/2026 17:03;01;CH0000267;0,35
100.000.242-01;(11) 95432-2017;23/08/2026 09:43;01;CH0000336;0,35
100.000.217-92;(11) 97609-1781;06/08/2026 17:03;01;CH0000302;0,35
100.000.394-97;(11) 99432-8498;23/09/2026 08:53;01;CH0000561;0,35
100.000.048-63;(11) 91585-8241;11/09/2026 11:52;01;CH0000070;0,35
100.000.336-18;(11) 99868-2228;06/08/2026 09:47;01;CH0000485;0,35
100.000.238-17;(11) 94905-7246;14/08/2026 13:48;02;CH0000328;0,35
100.000.128-82;(11) 96779-0557;06/08/2026 12:23;01;CH0000166;0,35
100.000.218-73;(11) 99499-2096;27/08/2026 09:44;12;CH0000303;0,35
100.000.363-90;(11) 98622-4438;31/08/2026 17:53;10;CH0000521;0,35
100.000.322-12;(11) 99702-5331;31/07/2026 12:23;01;CH0000463;0,35
100.000.347-70;(11) 94746-9681;15/09/2026 12:31;11;CH0000500;0,35
100.000.362-00;(11) 98530-0576;30/07/2026 14:19;02;CH0000520;0,35
100.000.477-59;(11) 93583-2275;13/09/2026 09:44;02;CH0000675;0,35
100.000.219-54;(11) 99135-7521;18/08/2026 09:26;12;CH0000305;0,35
100.000.215-20;(11) 98477-6858;14/09/2026 13:38;01;CH0000299;0,35
100.000.338-80;(11) 99299-6496;15/09/2026 08:57;02;CH0000489;0,35
100.000.001-08;(11) 96672-2344;15/08/2026 14:45;01;CH0000002;0,35
100.000.203-97;(11) 96007-6822;16/09/2026 14:52;01;CH0000277;0,35
100.000.238-17;(11) 98913-4873;12/09/2026 10:00;11;CH0000330;0,35
100.000.370-10;(11) 93816-4383;31/07/2026 19:07;02;CH0000529;0,35
100.000.187-32;(11) 98915-1743;07/09/2026 12:25;12;CH0000248;0,35
100.000.020-62;(11) 91332-6769;31/07/2026 19:19;12;CH0000034;0,35
100.000.093-18;(11) 98435-9498;19/08/2026 17:35;01;CH0000112;0,35
100.000.164-46;(11) 95885-2098;20/08/2026 09:28;01;CH0000217;0,35
100.000.440-67;(11) 97630-5077;27/08/2026 16:54;11;CH0000625;0,35
100.000.299-39;(11) 92144-9650;21/09/2026 18:40;01;CH0000424;0,35
100.000.187-32;(11) 99958-6100;14/09/2026 17:34;01;CH0000249;0,35
100.000.462-72;(11) 93384-1913;15/09/2026 15:05;02;CH0000651;0,35
100.000.099-03;(11) 93138-6576;18/08/2026 08:08;01;CH0000122;0,35
100.000.140-79;(11) 97215-1291;12/09/2026 11:48;01;CH0000179;0,35
100.000.274-80;(11) 91530-0062;05/09/2026 17:56;10;CH0000383;0,35
100.000.276-42;(11) 98401-6756;01/09/2026 12:48;01;CH0000388;0,35
100.000.296-96;(11) 99159-4977;28/07/2026 10:47;11;CH0000418;0,35
100.000.007-95;(11) 95005-6581;07/09/2026 09:45;11;CH0000022;0,35
100.000.401-50;(11) 94532-8305;05/09/2026 18:22;12;CH0000568;0,35
100.000.210-16;(11) 94648-4819;02/09/2026 19:36;01;CH0000285;0,35
100.000.117-20;(11) 91040-4729;26/08/2026 10:23;12;CH0000151;0,35
100.000.483-05;(11) 97959-6863;31/07/2026 14:01;10;CH0000681;0,35
100.000.321-31;(11) 96121-2793;11/09/2026 16:41;12;CH0000460;0,35
100.000.152-02;(11) 94734-2819;23/08/2026 14:01;11;CH0000199;0,35
100.000.115-68;(11) 95933-0907;05/09/2026 14:10;01;CH0000146;0,35
100.000.248-99;(11) 96334-5392;10/09/2026 18:09;01;CH0000344;0,35
100.000.417-18;(11) 97917-4131;12/09/2026 16:33;01;CH0000599;0,35
100.000.330-22;(11) 91113-7651;21/08/2026 15:23;11;CH0000475;0,35
100.000.122-97;(11) 94024-5233;08/08/2026 15:33;01;CH0000157;0,35
100.000.043-59;(11) 94617-3157;28/08/2026 12:09;01;CH0000064;0,35
100.000.376-05;(11) 96426-2755;24/09/2026 16:37;02;CH0000534;0,35
100.000.471-63;(11) 95524-7029;01/08/2026 15:41;11;CH0000666;0,35
100.000.187-32;(11) 99967-6390;28/08/2026 09:18;11;CH0000250;0,35
100.000.470-82;(11) 96959-0884;09/08/2026 14:33;10;CH0000664;0,35
100.000.069-98;(11) 94801-6697;10/08/2026 18:07;01;CH0000095;0,35
100.000.002-80;(11) 93580-8537;19/08/2026 16:55;12;CH0000008;0,35
100.000.005-23;(11) 93147-2420;07/09/2026 08:14;11;CH0000018;0,35
100.000.177-60;(11) 98618-8876;11/09/2026 15:42;01;CH0000238;0,35
100.000.498-83;(11) 95861-7120;01/08/2026 08:29;10;CH0000705;0,35
100.000.210-16;(11) 92247-5714;05/09/2026 10:14;12;CH0000284;0,35
100.000.241-12;(11) 93991-7031;13/08/2026 17:46;01;CH0000335;0,35
100.000.103-24;(11) 96274-1471;29/07/2026 09:09;10;CH0000129;0,35
100.000.201-25;(11) 96122-6775;04/09/2026 15:43;12;CH0000271;0,35
100.000.301-98;(11) 97089-9748;14/09/2026 15:21;12;CH0000428;0,35
100.000.308-64;(11) 95017-7237;05/08/2026 19:42;11;CH0000444;0,35
100.000.375-24;(11) 91934-2782;05/09/2026 09:23;01;CH0000531;0,35
100.000.360-48;(11) 99288-2398;29/08/2026 10:57;01;CH0000513;0,35
100.000.238-17;(11) 94905-7246;14/08/2026 13:48;02;CH0000328;0,35
100.000.439-23;(11) 95802-5924;02/08/2026 14:40;01;CH0000621;0,35
100.000.408-27;(11) 95032-0166;22/09/2026 18:16;01;CH0000589;0,35
100.000.330-22;(11) 95204-6364;09/09/2026 10:43;01;CH0000474;0,35
100.000.322-12;(11) 99702-5331;05/09/2026 16:44;01;CH0000462;0,35
100.000.408-27;(11) 92062-7779;17/08/2026 09:54;01;CH0000588;0,35
100.000.146-64;(11) 91128-6267;14/09/2026 08:36;01;CH0000185;0,35
100.000.469-49;(11) 96914-4114;24/09/2026 10:21;01;CH0000663;0,35
100.000.025-77;(11) 99452-5678;05/08/2026 19:03;01;CH0000044;0,35
100.000.261-66;(11) 94819-9537;30/07/2026 19:54;11;CH0000368;0,35
100.000.254-37;(11) 95558-8495;05/09/2026 08:16;11;CH0000351;0,35
100.000.077-06;(11) 96188-3769;23/09/2026 14:21;12;CH0000100;0,35
100.000.002-80;(11) 99301-6315;23/09/2026 18:18;01;CH0000011;0,35
100.000.175-07;(11) 99465-8420;05/09/2026 19:39;01;CH0000231;0,35
100.000.343-47;(11) 92512-3535;12/09/2026 16:34;01;CH0000493;0,35
100.000.417-18;(11) 97135-5706;04/08/2026 15:48;01;CH0000601;0,35
100.000.470-82;(11) 96959-0884;02/09/2026 18:14;01;CH0000665;0,35
100.000.147-45;(11) 94920-3644;20/08/2026 14:17;01;CH0000189;0,35
100.000.202-06;(11) 99469-5784;01/08/2026 10:08;12;CH0000274;0,35
100.000.355-80;(11) 97360-6441;24/09/2026 08:27;10;CH0000509;0,35
100.000.201-25;(11) 96122-6775;01/08/2026 18:15;11;CH0000272;0,35
100.000.154-74;(11) 96741-8250;09/09/2026 15:22;11;CH0000200;0,35
100.000.089-31;(11) 96697-5380;27/07/2026 16:14;02;CH0000107;0,35
100.000.173-37;(11) 96951-6344;10/08/2026 08:19;12;CH0000228;0,35
100.000.296-96;(11) 94312-2766;14/09/2026 19:25;01;CH0000421;0,35
100.000.043-59;(11) 94617-3157;27/07/2026 18:43;12;CH0000065;0,35
100.000.244-65;(11) 97464-8438;30/08/2026 19:08;01;CH0000339;0,35
100.000.180-66;(11) 99237-0625;31/07/2026 08:27;99;CH0000242;0,35
100.000.360-48;(11) 99288-2398;24/09/2026 19:41;10;CH0000514;0,35
100.000.261-66;(11) 97543-0302;29/08/2026 15:41;11;CH0000366;0,35
100.000.199-76;(11) 97809-0647;07/08/2026 19:52;01;CH0000268;0,35
100.000.094-07;(11) 99621-3226;28/07/2026 09:16;01;CH0000113;0,35
100.000.054-01;(11) 91447-8111;20/09/2026 11:11;01;CH0000077;0,35
100.000.410-41;(11) 92427-1459;24/09/2026 15:46;01;CH0000592;0,35
100.000.461-91;(11) 98617-8952;28/07/2026 16:44;10;CH0000647;0,35
100.000.431-76;(11) 98778-6253;06/08/2026 09:23;01;CH0000612;0,35
100.000.314-02;(11) 92155-8774;29/08/2026 14:50;01;CH0000448;0,35
100.000.353-19;(11) 95301-1925;24/08/2026 13:11;11;CH0000504;0,35
100.000.028-10;(11) 96470-7061;24/09/2026 13:54;01;CH0000048;0,35
100.000.025-77;(11) 99805-4615;07/09/2026 13:51;12;CH0000045;0,35
100.000.001-08;(11) 95517-6955;10/09/2026 18:56;02;CH0000004;0,35
100.000.247-08;(11) 91096-5569;16/09/2026 08:45;01;CH0000343;0,35
100.000.001-08;(11) 95517-6955;31/07/2026 15:33;02;CH0000005;0,35
100.000.003-61;(11) 96092-9647;30/07/2026 15:26;10;CH0000015;0,35
100.000.166-08;(11) 98567-2859;07/09/2026 14:53;01;CH0000218;0,35
100.000.306-00;(11) 94414-7341;08/09/2026 10:12;10;CH0000437;0,35
100.000.143-11;(11) 95909-5909;15/09/2026 10:20;01;CH0000182;0,35
100.000.214-40;(11) 93220-0132;06/09/2026 10:20;02;CH0000291;0,35
100.000.306-00;(11) 95692-9234;16/08/2026 14:37;01;CH0000439;0,35
100.000.115-68;(11) 95933-0907;27/07/2026 14:09;01;CH0000144;0,35
100.000.334-56;(11) 97680-0348;18/08/2026 11:16;02;CH0000480;0,35
100.000.392-25;(11) 96274-4287;22/09/2026 14:50;12;CH0000558;0,35
100.000.499-64;(11) 91456-2440;31/08/2026 14:41;02;CH0000707;0,35
100.000.117-20;(11) 91040-4729;15/09/2026 12:02;01;CH0000149;0,35
100.000.466-04;(11) 99947-7179;24/08/2026 18:45;01;CH0000654;0,35
100.000.386-87;(11) 93019-6097;14/08/2026 18:55;01;CH0000547;0,35
