customer_ref,wa_number,event_at,status,message_id
C0000048,5511914968688,2026-08-20 12:47:00,delivered,wamid.37
C0000114,5511941715995,2026-08-13 09:27:00,delivered,wamid.8e
C0000091,5511959930790,2026-08-07 08:28:00,read,wamid.6f
C0000384,5511981918425,2026-09-06 12:35:00,read,wamid.1e2
C0000303,5511987707540,2026-08-16 12:08:00,blocked,wamid.17d
C0000068,5511953537934,2026-09-22 12:50:00,failed_not_on_whatsapp,wamid.4c
C0000041,5511998742485,2026-08-06 13:48:00,failed_not_on_whatsapp,wamid.2d
C0000488,5511963929804,2026-07-30 12:52:00,failed_not_on_whatsapp,wamid.277
C0000043,5511946173157,2026-08-26 18:35:00,failed_not_on_whatsapp,wamid.30
C0000477,5511937409946,2026-08-25 12:12:00,delivered,wamid.26a
C0000121,5511989412216,2026-08-16 13:51:00,failed_not_on_whatsapp,wamid.99
C0000455,5511988380820,2026-08-15 17:31:00,delivered,wamid.24a
C0000408,5511949017499,2026-08-20 13:57:00,delivered,wamid.20a
C0000173,5511969516344,2026-08-22 19:23:00,read,wamid.e3
C0000230,5511964711545,2026-08-15 18:28:00,failed_not_on_whatsapp,wamid.126
C0000394,5511910412827,2026-09-17 09:25:00,delivered,wamid.1f8
C0000332,5511949536330,2026-08-05 15:46:00,delivered,wamid.1a0
C0000321,5511993914843,2026-08-09 12:31:00,delivered,wamid.191
C0000303,5511950170625,2026-09-11 11:53:00,failed_not_on_whatsapp,wamid.17c
C0000477,5511969372673,2026-09-16 15:38:00,read,wamid.26b
C0000036,5511999115205,2026-09-17 16:54:00,delivered,wamid.23
C0000256,5511941522559,2026-08-03 18:40:00,read,wamid.14a
C0000317,5511974743230,2026-09-08 18:30:00,delivered,wamid.18c
C0000090,5511920071854,2026-09-16 15:32:00,replied,wamid.6c
C0000045,5511979583757,2026-08-23 15:34:00,failed_not_on_whatsapp,wamid.33
C0000287,5511954543739,2026-08-18 08:07:00,read,wamid.16c
C0000096,5511920901547,2026-09-04 17:50:00,read,wamid.7a
C0000058,5511982503409,2026-08-23 11:26:00,replied,wamid.43
C0000499,5511997254650,2026-08-11 11:35:00,delivered,wamid.287
C0000153,5511981729237,2026-08-02 14:38:00,failed_not_on_whatsapp,wamid.c0
C0000073,5511956892354,2026-09-14 16:48:00,replied,wamid.53
C0000428,5511919068358,2026-09-21 18:32:00,delivered,wamid.22e
C0000330,5511911137651,2026-07-28 16:36:00,wrong_person,wamid.19b
C0000219,5511927231111,2026-08-29 18:01:00,failed_not_on_whatsapp,wamid.117
C0000098,5511926444612,2026-08-24 12:00:00,delivered,wamid.7c
C0000068,5511955754284,2026-09-17 09:58:00,delivered,wamid.4d
C0000259,5511961121302,2026-09-08 11:40:00,failed_not_on_whatsapp,wamid.14d
C0000474,5511986397410,2026-08-17 15:27:00,failed_not_on_whatsapp,wamid.268
C0000158,5511913600310,2026-09-12 14:37:00,failed_not_on_whatsapp,wamid.c5
C0000416,5511955329991,2026-08-30 08:36:00,failed_not_on_whatsapp,wamid.213
C0000122,5511934679818,2026-09-19 16:01:00,delivered,wamid.9c
C0000020,5511913326769,2026-09-06 16:11:00,failed_not_on_whatsapp,wamid.11
C0000224,5511990985229,2026-08-25 08:34:00,failed_not_on_whatsapp,wamid.11b
C0000407,5511969786268,2026-09-24 19:28:00,delivered,wamid.206
C0000125,5511929585415,2026-07-28 15:47:00,delivered,wamid.9e
C0000358,5511934762712,2026-09-14 13:14:00,identity_verified,wamid.1bc
C0000364,5511995437748,2026-09-13 19:36:00,read,wamid.1cf
C0000382,5511918791292,2026-08-30 12:36:00,delivered,wamid.1dd
C0000462,5511936709158,2026-08-17 12:16:00,failed_not_on_whatsapp,wamid.255
C0000429,5511941248877,2026-08-29 12:43:00,delivered,wamid.22f
C0000301,5511970899748,2026-08-02 09:16:00,delivered,wamid.179
C0000270,5511943173547,2026-07-28 15:44:00,delivered,wamid.159
C0000138,5511950645509,2026-09-15 19:06:00,failed_not_on_whatsapp,wamid.af
C0000096,5511920901547,2026-08-12 18:20:00,delivered,wamid.79
C0000178,5511910091737,2026-09-01 08:28:00,failed_not_on_whatsapp,wamid.e9
C0000418,5511958538289,2026-09-18 13:16:00,read,wamid.217
C0000267,5511948208680,2026-08-30 14:20:00,delivered,wamid.153
C0000474,5511962152370,2026-07-31 17:34:00,failed_not_on_whatsapp,wamid.267
C0000437,5511990465362,2026-08-23 12:01:00,failed_not_on_whatsapp,wamid.238
C0000455,5511988380820,2026-08-30 16:50:00,delivered,wamid.24b
C0000273,5511981988124,2026-09-05 10:25:00,failed_not_on_whatsapp,wamid.15a
C0000090,5511964520614,2026-09-20 08:50:00,failed_not_on_whatsapp,wamid.6d
C0000173,5511969516344,2026-09-15 18:23:00,read,wamid.e5
C0000363,5511960435319,2026-08-26 11:08:00,blocked,wamid.1cb
C0000460,5511927226260,2026-09-13 15:30:00,failed_not_on_whatsapp,wamid.251
C0000458,5511928503943,2026-09-18 11:50:00,failed_not_on_whatsapp,wamid.24e
C0000472,5511953309319,2026-08-20 16:56:00,delivered,wamid.263
C0000207,5511947944260,2026-08-04 08:43:00,delivered,wamid.10b
C0000443,5511966884191,2026-08-11 13:15:00,failed_not_on_whatsapp,wamid.241
C0000295,5511975960711,2026-09-02 19:58:00,delivered,wamid.173
C0000388,5511975208604,2026-08-01 08:24:00,wrong_person,wamid.1eb
C0000280,5511952299387,2026-09-13 19:16:00,failed_not_on_whatsapp,wamid.164
C0000205,5511959203071,2026-08-26 09:23:00,failed_not_on_whatsapp,wamid.109
C0000448,5511929545414,2026-08-31 15:19:00,delivered,wamid.244
C0000284,5511916618423,2026-08-22 15:25:00,wrong_person,wamid.16a
C0000499,5511929940502,2026-08-26 14:43:00,delivered,wamid.285
C0000078,5511999941500,2026-08-05 08:20:00,failed_not_on_whatsapp,wamid.5a
C0000413,5511975485030,2026-09-01 09:19:00,delivered,wamid.211
C0000171,5511929907683,2026-09-24 11:22:00,replied,wamid.df
C0000101,5511958657117,2026-09-08 15:09:00,read,wamid.7f
C0000395,5511944987861,2026-07-29 19:19:00,read,wamid.1f9
C0000419,5511965701512,2026-08-08 15:22:00,failed_not_on_whatsapp,wamid.219
C0000291,5511913954845,2026-09-04 16:40:00,failed_not_on_whatsapp,wamid.16e
C0000162,5511998322292,2026-08-09 15:06:00,blocked,wamid.cc
C0000360,5511992882398,2026-08-18 19:54:00,failed_not_on_whatsapp,wamid.1be
C0000063,5511969533928,2026-07-30 17:43:00,delivered,wamid.49
C0000397,5511927475058,2026-08-16 19:57:00,delivered,wamid.1fd
C0000130,5511946385762,2026-08-20 12:21:00,delivered,wamid.a5
C0000122,5511972146184,2026-08-31 13:50:00,delivered,wamid.9b
C0000229,5511966936428,2026-09-22 08:40:00,read,wamid.124
C0000091,5511913478029,2026-09-10 18:18:00,blocked,wamid.6e
C0000276,5511927418007,2026-09-24 09:16:00,read,wamid.15f
C0000446,5511972305089,2026-08-24 09:36:00,failed_not_on_whatsapp,wamid.242
C0000406,5511948243447,2026-09-21 19:16:00,failed_not_on_whatsapp,wamid.205
C0000414,5511978133743,2026-07-27 18:34:00,failed_not_on_whatsapp,wamid.212
C0000060,5511942691263,2026-09-02 19:14:00,failed_not_on_whatsapp,wamid.46
C0000237,5511994775473,2026-09-12 12:23:00,blocked,wamid.130
C0000442,5511996029038,2026-09-20 15:59:00,failed_not_on_whatsapp,wamid.240
C0000340,5511955030548,2026-08-05 10:13:00,delivered,wamid.1ac
C0000001,5511955176955,2026-08-21 14:09:00,delivered,wamid.2
C0000492,5511922138886,2026-08-11 18:44:00,failed_not_on_whatsapp,wamid.27d
C0000386,5511936930522,2026-09-08 13:03:00,delivered,wamid.1e5
C0000458,5511982897088,2026-09-09 18:52:00,wrong_person,wamid.24f
,5511928824809,2026-08-29 19:17:00,delivered,wamid.25d
C0000481,5511936068867,2026-08-25 14:22:00,failed_not_on_whatsapp,wamid.26c
C0000420,5511952252354,2026-08-16 13:11:00,failed_not_on_whatsapp,wamid.220
C0000101,5511958657117,2026-08-13 17:23:00,read,wamid.80
C0000330,5511911137651,2026-07-28 16:36:00,wrong_person,wamid.19b
C0000096,5511920901547,2026-09-05 15:20:00,replied,wamid.77
C0000166,5511942559072,2026-08-15 13:47:00,delivered,wamid.da
C0000383,5511986844836,2026-07-29 16:33:00,delivered,wamid.1e1
C0000245,5511992510102,2026-08-17 15:02:00,failed_not_on_whatsapp,wamid.138
C0000086,5511956278607,2026-07-28 17:25:00,read,wamid.64
C0000419,5511973574016,2026-07-30 12:25:00,read,wamid.21b
C0000013,5511984593961,2026-07-30 10:30:00,delivered,wamid.a
C0000185,5511930614492,2026-09-02 16:55:00,delivered,wamid.f1
C0000125,5511988387434,2026-08-11 08:50:00,replied,wamid.9d
C0000305,5511994806492,2026-08-15 13:06:00,failed_not_on_whatsapp,wamid.180
C0000073,5511956892354,2026-09-12 13:23:00,read,wamid.54
C0000253,5511977946127,2026-08-10 09:44:00,replied,wamid.147
C0000037,5511981690398,2026-08-18 10:26:00,replied,wamid.26
C0000147,5511949203644,2026-09-19 19:35:00,read,wamid.b7
C0000036,5511983871890,2026-08-26 17:41:00,delivered,wamid.25
C0000044,5511973083727,2026-08-15 15:38:00,read,wamid.31
C0000397,5511927475058,2026-09-01 13:03:00,read,wamid.1fb
C0000366,5511958474537,2026-08-27 11:30:00,failed_not_on_whatsapp,wamid.1d2
C0000437,5511910274812,2026-07-30 17:29:00,wrong_person,wamid.235
C0000391,5511951362065,2026-08-25 15:39:00,failed_not_on_whatsapp,wamid.1f3
C0000078,5511999941500,2026-09-02 15:06:00,failed_not_on_whatsapp,wamid.5d
C0000248,5511984478941,2026-08-02 08:07:00,failed_not_on_whatsapp,wamid.13e
C0000239,5511969890694,2026-08-12 14:13:00,read,wamid.133
C0000086,5511956278607,2026-09-03 10:32:00,delivered,wamid.63
C0000332,5511949536330,2026-09-12 17:09:00,identity_verified,wamid.19f
C0000201,5511961226775,2026-08-01 09:55:00,delivered,wamid.105
C0000160,5511911851322,2026-08-13 17:50:00,read,wamid.ca
C0000304,5511924670297,2026-08-21 14:58:00,failed_not_on_whatsapp,wamid.17e
C0000374,5511976547299,2026-07-28 15:04:00,failed_not_on_whatsapp,wamid.1d6
C0000119,5511983074216,2026-09-08 09:51:00,pending,wamid.93
C0000159,5511958465780,2026-09-23 17:19:00,failed_not_on_whatsapp,wamid.c8
C0000207,5511947944260,2026-09-24 14:22:00,delivered,wamid.10d
C0000092,5511969741812,2026-08-17 10:39:00,failed_not_on_whatsapp,wamid.70
C0000243,5511986808685,2026-08-06 18:41:00,replied,wamid.135
C0000084,5511918429833,2026-08-12 15:20:00,delivered,wamid.61
C0000253,5511977946127,2026-09-21 17:18:00,read,wamid.148
C0000274,5511958072427,2026-09-07 15:58:00,delivered,wamid.15b
C0000298,5511970516875,2026-08-11 15:35:00,delivered,wamid.175
C0000498,5511987266743,2026-09-18 08:23:00,failed_not_on_whatsapp,wamid.284
C0000025,5511994525678,2026-09-01 13:21:00,failed_not_on_whatsapp,wamid.1c
C0000128,5511967790557,2026-08-25 16:42:00,failed_not_on_whatsapp,wamid.a0
C0000282,5511933206579,2026-09-22 12:57:00,failed_not_on_whatsapp,wamid.166
C0000362,5511965782199,2026-09-09 14:43:00,delivered,wamid.1c3
C0000362,5511969622247,2026-08-01 09:42:00,delivered,wamid.1c5
C0000081,5511931751079,2026-09-13 11:56:00,failed_not_on_whatsapp,wamid.60
C0000393,5511920750109,2026-09-14 13:33:00,failed_not_on_whatsapp,wamid.1f7
C0000164,5511958852098,2026-09-23 18:32:00,blocked,wamid.d2
C0000095,5511948124318,2026-08-27 13:27:00,delivered,wamid.76
C0000053,5511916582607,2026-08-12 09:38:00,failed_not_on_whatsapp,wamid.3e
C0000164,5511958852098,2026-09-02 13:16:00,delivered,wamid.d4
C0000087,5511914963880,2026-08-06 15:32:00,delivered,wamid.66
C0000391,5511951362065,2026-08-17 17:15:00,failed_not_on_whatsapp,wamid.1f1
C0000484,5511965947629,2026-08-30 09:37:00,failed_not_on_whatsapp,wamid.26f
C0000016,5511931172421,2026-08-27 13:19:00,read,wamid.d
C0000150,5511917966873,2026-08-04 19:26:00,delivered,wamid.b8
C0000189,5511920518444,2026-08-03 18:09:00,delivered,wamid.f4
C0000497,5511947898265,2026-09-10 13:37:00,delivered,wamid.281
C0000266,5511990128487,2026-08-11 14:30:00,replied,wamid.152
C0000021,5511919317495,2026-09-04 08:03:00,delivered,wamid.12
C0000319,5511962342586,2026-08-06 18:47:00,read,wamid.18d
C0000292,5511928536762,2026-07-27 15:37:00,failed_not_on_whatsapp,wamid.170
C0000101,5511958657117,2026-08-31 11:47:00,read,wamid.7e
C0000392,5511969378298,2026-08-15 10:56:00,failed_not_on_whatsapp,wamid.1f6
C0000327,5511989932574,2026-09-24 17:13:00,delivered,wamid.199
C0000491,5511924155900,2026-09-06 12:39:00,failed_not_on_whatsapp,wamid.27a
C0000222,5511949613096,2026-08-22 16:04:00,delivered,wamid.118
C0000118,5511960666702,2026-08-09 14:30:00,delivered,wamid.90
C0000461,5511928674348,2026-07-28 19:01:00,failed_not_on_whatsapp,wamid.254
C0000152,5511922494970,2026-08-09 08:14:00,read,wamid.bf
C0000247,5511952399610,2026-09-15 11:13:00,read,wamid.13c
C0000427,5511980166008,2026-08-12 14:37:00,wrong_person,wamid.22d
C0000337,5511975663681,2026-09-12 14:11:00,replied,wamid.1a6
C0000469,5511969144114,2026-08-25 11:49:00,pending,wamid.25f
C0000419,5511921439895,2026-08-18 12:57:00,failed_not_on_whatsapp,wamid.21a
C0000436,5511926505688,2026-07-27 19:38:00,failed_not_on_whatsapp,wamid.234
C0000162,5511956533974,2026-08-13 12:11:00,failed_not_on_whatsapp,wamid.cd
C0000088,5511954550177,2026-09-11 14:15:00,failed_not_on_whatsapp,wamid.68
C0000156,5511927870584,2026-09-14 13:16:00,failed_not_on_whatsapp,wamid.c2
C0000319,5511937603443,2026-09-20 11:00:00,identity_verified,wamid.18f
C0000388,5511996475652,2026-08-07 09:36:00,failed_not_on_whatsapp,wamid.1ee
C0000358,5511987111463,2026-09-23 08:55:00,blocked,wamid.1bd
C0000138,5511919282319,2026-08-19 18:14:00,failed_not_on_whatsapp,wamid.ac
C0000424,5511994254420,2026-08-29 15:54:00,failed_not_on_whatsapp,wamid.226
C0000316,5511971906810,2026-07-27 15:34:00,delivered,wamid.18b
C0000238,5511989134873,2026-08-09 08:03:00,read,wamid.131
C0000466,5511939159454,2026-09-12 12:59:00,failed_not_on_whatsapp,wamid.259
C0000170,5511930858851,2026-09-04 14:16:00,delivered,wamid.dd
,5511973404979,2026-09-07 15:06:00,failed_not_on_whatsapp,wamid.89
C0000354,5511918808386,2026-08-30 10:02:00,failed_not_on_whatsapp,wamid.1b7
C0000228,5511960326016,2026-09-11 08:21:00,blocked,wamid.122
C0000432,5511932708438,2026-09-05 16:14:00,failed_not_on_whatsapp,wamid.230
C0000426,5511969066531,2026-08-28 09:37:00,failed_not_on_whatsapp,wamid.22a
C0000251,5511978524572,2026-09-19 14:53:00,delivered,wamid.144
C0000261,5511975430302,2026-07-30 11:41:00,read,wamid.150
,5511989060695,2026-09-24 13:37:00,failed_not_on_whatsapp,wamid.13b
C0000215,5511984776858,2026-08-14 13:06:00,read,wamid.111
C0000322,5511997025331,2026-07-30 11:17:00,delivered,wamid.192
C0000276,5511984016756,2026-07-28 10:18:00,delivered,wamid.160
C0000181,5511920443030,2026-08-07 10:26:00,failed_not_on_whatsapp,wamid.ed
C0000059,5511959302863,2026-08-19 16:05:00,failed_not_on_whatsapp,wamid.45
C0000162,5511951512209,2026-09-02 15:05:00,delivered,wamid.cf
C0000365,5511987989327,2026-07-29 13:35:00,read,wamid.1d1
C0000120,5511923542127,2026-09-11 16:04:00,read,wamid.98
C0000077,5511994676162,2026-08-13 11:24:00,delivered,wamid.59
C0000015,5511945650176,2026-08-08 15:29:00,failed_not_on_whatsapp,wamid.c
C0000158,5511935319707,2026-09-04 10:50:00,blocked,wamid.c6
C0000458,5511928503943,2026-09-18 11:50:00,failed_not_on_whatsapp,wamid.24e
C0000041,5511996924061,2026-08-10 15:20:00,delivered,wamid.2c
C0000025,5511971124923,2026-08-30 09:30:00,replied,wamid.1b
C0000193,5511928206610,2026-08-24 18:21:00,delivered,wamid.fa
C0000138,5511919282319,2026-09-01 10:19:00,failed_not_on_whatsapp,wamid.ae
C0000416,5511955329991,2026-08-02 08:03:00,failed_not_on_whatsapp,wamid.215
C0000423,5511944863921,2026-09-16 17:01:00,read,wamid.222
C0000017,5511984252420,2026-09-18 08:30:00,delivered,wamid.e
C0000141,5511937765262,2026-09-21 12:55:00,blocked,wamid.b1
C0000249,5511955424358,2026-07-27 08:05:00,failed_not_on_whatsapp,wamid.13f
C0000061,5511927447248,2026-08-08 16:28:00,read,wamid.48
C0000471,5511955247029,2026-09-06 10:30:00,failed_not_on_whatsapp,wamid.262
C0000332,5511949536330,2026-08-09 17:38:00,delivered,wamid.1a2
C0000181,5511976596831,2026-09-01 11:09:00,identity_verified,wamid.ee
C0000166,5511971303434,2026-07-27 11:28:00,delivered,wamid.d9
C0000423,5511944863921,2026-08-30 08:28:00,delivered,wamid.223
C0000093,5511976306502,2026-08-15 15:39:00,read,wamid.72
C0000396,5511932650041,2026-09-08 12:59:00,failed_not_on_whatsapp,wamid.1fa
C0000151,5511965243509,2026-08-28 17:32:00,failed_not_on_whatsapp,wamid.bb
C0000256,5511945622106,2026-08-16 09:38:00,delivered,wamid.14b
C0000178,5511910091737,2026-07-28 18:56:00,failed_not_on_whatsapp,wamid.e8
C0000235,5511935970938,2026-09-07 12:37:00,identity_verified,wamid.12c
C0000403,5511934247098,2026-08-16 18:38:00,failed_not_on_whatsapp,wamid.201
C0000236,5511950999730,2026-08-01 16:43:00,delivered,wamid.12d
C0000387,5511930127592,2026-09-11 15:47:00,delivered,wamid.1e8
C0000259,5511940677709,2026-09-04 11:23:00,failed_not_on_whatsapp,wamid.14e
C0000089,5511920746667,2026-08-29 19:15:00,delivered,wamid.6a
C0000343,5511973674613,2026-09-17 08:52:00,read,wamid.1ae
C0000051,5511991804602,2026-08-25 12:20:00,failed_not_on_whatsapp,wamid.3d
C0000309,5511994088862,2026-08-14 14:20:00,read,wamid.182
C0000096,5511920901547,2026-09-23 19:50:00,delivered,wamid.78
C0000383,5511986551556,2026-07-29 11:58:00,replied,wamid.1e0
C0000441,5511980206603,2026-08-20 08:41:00,replied,wamid.23d
C0000440,5511976305077,2026-09-19 17:09:00,read,wamid.23b
C0000439,5511958025924,2026-08-20 16:16:00,failed_not_on_whatsapp,wamid.23a
C0000193,5511928206610,2026-08-24 18:21:00,delivered,wamid.fa
C0000231,5511948901209,2026-08-12 16:39:00,failed_not_on_whatsapp,wamid.127
C0000410,5511924271459,2026-09-16 15:51:00,delivered,wamid.20e
C0000313,5511952746321,2026-09-06 18:06:00,failed_not_on_whatsapp,wamid.188
C0000386,5511936930522,2026-08-04 16:48:00,delivered,wamid.1e7
C0000192,5511953066216,2026-09-21 14:26:00,read,wamid.f8
C0000451,5511915892805,2026-08-29 08:44:00,delivered,wamid.246
C0000300,5511930144703,2026-09-13 11:17:00,blocked,wamid.177
C0000047,5511950071487,2026-09-22 18:18:00,read,wamid.35
C0000375,5511949002238,2026-08-06 09:59:00,read,wamid.1d7
C0000178,5511910091737,2026-08-22 14:12:00,failed_not_on_whatsapp,wamid.ea
C0000151,5511965243509,2026-09-15 14:07:00,failed_not_on_whatsapp,wamid.ba
C0000330,5511952046364,2026-08-16 08:47:00,replied,wamid.19c
C0000119,5511983074216,2026-08-06 19:58:00,delivered,wamid.92
C0000199,5511978090647,2026-08-20 11:27:00,delivered,wamid.104
C0000362,5511965782199,2026-08-06 17:09:00,delivered,wamid.1c4
C0000246,5511989060695,2026-07-30 18:56:00,failed_not_on_whatsapp,wamid.13a
C0000407,5511969786268,2026-08-28 15:16:00,read,wamid.208
C0000188,5511977390918,2026-09-12 18:45:00,delivered,wamid.f3
C0000173,5511954499873,2026-09-05 13:00:00,failed_not_on_whatsapp,wamid.e6
C0000268,5511911101134,2026-07-30 12:37:00,delivered,wamid.156
C0000002,5511935808537,2026-08-28 08:28:00,delivered,wamid.4
C0000193,5511928206610,2026-09-18 17:56:00,pending,wamid.f9
C0000353,5511953011925,2026-08-03 18:31:00,read,wamid.1b4
C0000143,5511959095909,2026-09-09 18:53:00,replied,wamid.b3
C0000178,5511910091737,2026-09-12 18:11:00,failed_not_on_whatsapp,wamid.eb
C0000040,5511998641164,2026-09-09 09:35:00,wrong_person,wamid.2a
C0000008,5511958718453,2026-09-22 19:46:00,failed_not_on_whatsapp,wamid.8
C0000170,5511930858851,2026-08-05 08:50:00,read,wamid.de
C0000379,5511960511038,2026-08-23 15:40:00,read,wamid.1da
C0000020,5511965259205,2026-08-15 17:58:00,failed_not_on_whatsapp,wamid.f
C0000021,5511954058573,2026-08-12 10:25:00,delivered,wamid.14
C0000130,5511946385762,2026-09-03 18:35:00,replied,wamid.a6
C0000398,5511941606345,2026-07-27 15:10:00,failed_not_on_whatsapp,wamid.1ff
C0000180,5511989047551,2026-08-24 16:59:00,delivered,wamid.ec
C0000054,5511914478111,2026-08-16 18:00:00,failed_not_on_whatsapp,wamid.3f
C0000102,5511962868861,2026-09-06 19:01:00,failed_not_on_whatsapp,wamid.81
C0000420,5511913994712,2026-07-27 18:57:00,failed_not_on_whatsapp,wamid.21f
C0000025,5511994525678,2026-09-23 12:11:00,failed_not_on_whatsapp,wamid.19
C0000433,5511926235817,2026-09-05 09:55:00,read,wamid.231
C0000275,5511970315326,2026-09-15 19:35:00,delivered,wamid.15d
C0000160,5511911851322,2026-09-07 16:03:00,replied,wamid.c9
C0000182,5511919099261,2026-08-08 14:56:00,read,wamid.f0
C0000238,5511989134873,2026-09-08 17:11:00,identity_verified,wamid.132
C0000095,5511926664623,2026-08-10 10:22:00,read,wamid.74
C0000464,5511969825080,2026-07-27 17:44:00,delivered,wamid.256
C0000485,5511934525524,2026-08-02 18:27:00,failed_not_on_whatsapp,wamid.270
C0000231,5511948901209,2026-08-10 15:14:00,failed_not_on_whatsapp,wamid.128
C0000467,5511977922837,2026-08-17 13:46:00,delivered,wamid.25a
C0000424,5511994254420,2026-08-09 11:49:00,failed_not_on_whatsapp,wamid.229
C0000092,5511919939096,2026-08-31 19:01:00,failed_not_on_whatsapp,wamid.71
C0000109,5511923448342,2026-09-08 19:36:00,read,wamid.88
C0000038,5511925312516,2026-09-08 13:20:00,failed_not_on_whatsapp,wamid.28
C0000216,5511970737878,2026-08-19 19:09:00,failed_not_on_whatsapp,wamid.112
C0000168,5511922485824,2026-08-16 15:18:00,delivered,wamid.dc
C0000278,5511941006711,2026-09-14 11:04:00,delivered,wamid.162
C0000423,5511944863921,2026-07-29 09:49:00,read,wamid.224
C0000261,5511975430302,2026-08-05 14:15:00,delivered,wamid.14f
C0000287,5511954543739,2026-09-17 11:34:00,delivered,wamid.16d
C0000038,5511925312516,2026-09-16 16:15:00,failed_not_on_whatsapp,wamid.29
C0000498,5511958617120,2026-08-06 11:36:00,read,wamid.283
C0000266,5511990128487,2026-08-11 14:30:00,replied,wamid.152
C0000316,5511970838623,2026-08-13 11:40:00,delivered,wamid.18a
C0000354,5511933999716,2026-09-21 15:16:00,failed_not_on_whatsapp,wamid.1b8
C0000002,5511935808537,2026-08-05 08:22:00,delivered,wamid.3
C0000363,5511986224438,2026-09-17 11:54:00,failed_not_on_whatsapp,wamid.1cc
C0000278,5511941006711,2026-08-16 13:56:00,delivered,wamid.161
C0000336,5511998682228,2026-08-11 17:22:00,failed_not_on_whatsapp,wamid.1a4
C0000197,5511923732098,2026-08-31 14:17:00,failed_not_on_whatsapp,wamid.103
C0000268,5511947864772,2026-08-02 15:28:00,failed_not_on_whatsapp,wamid.155
C0000486,5511974142265,2026-08-11 09:22:00,delivered,wamid.273
C0000296,5511951996390,2026-09-14 14:46:00,failed_not_on_whatsapp,wamid.174
C0000034,5511982232344,2026-08-11 16:49:00,wrong_person,wamid.21
C0000103,5511950162553,2026-08-04 09:49:00,read,wamid.83
C0000065,5511927463800,2026-09-23 13:28:00,replied,wamid.4a
C0000120,5511942301683,2026-09-05 19:34:00,identity_verified,wamid.97
C0000295,5511940369856,2026-08-28 09:42:00,read,wamid.172
C0000460,5511960291405,2026-09-11 12:02:00,delivered,wamid.252
C0000247,5511952399610,2026-08-04 13:43:00,read,wamid.13d
C0000102,5511962868861,2026-09-13 08:26:00,failed_not_on_whatsapp,wamid.82
C0000202,5511994695784,2026-09-16 19:47:00,blocked,wamid.106
C0000164,5511958852098,2026-09-05 14:47:00,identity_verified,wamid.d3
C0000078,5511996368203,2026-08-01 11:17:00,failed_not_on_whatsapp,wamid.5b
C0000354,5511933999716,2026-08-21 12:46:00,failed_not_on_whatsapp,wamid.1b6
C0000261,5511948199537,2026-09-17 10:51:00,failed_not_on_whatsapp,wamid.151
C0000202,5511994695784,2026-09-04 13:12:00,wrong_person,wamid.107
C0000416,5511955329991,2026-08-31 12:27:00,failed_not_on_whatsapp,wamid.214
C0000442,5511976514912,2026-09-02 15:25:00,delivered,wamid.23e
C0000452,5511928420515,2026-08-02 17:12:00,failed_not_on_whatsapp,wamid.247
C0000054,5511914478111,2026-08-14 14:01:00,failed_not_on_whatsapp,wamid.40
C0000136,5511963108878,2026-09-07 12:38:00,delivered,wamid.a9
C0000404,5511913484583,2026-08-24 16:06:00,failed_not_on_whatsapp,wamid.203
C0000024,5511948089166,2026-09-16 09:23:00,failed_not_on_whatsapp,wamid.17
