id_cliente;contato;tipo;origem;cpf;whatsapp_valido;atualizado_em
C0000020;(11) 96525-9205;telefone;bureau;;0;2026-07-21
C0000021;(11) 93992-0292;telefone;bureau;10000002143;1;2026-07-25
C0000021;11954058573;telefone;cadastro;;0;2026-07-25
C0000021;11919317495;telefone;cadastro;;1;2026-07-25
C0000021;(11) 99609-8221;telefone;cadastro;;0;2026-07-25
C0000021;cliente21_0@exemplo.com;email;enriquecimento;10000002143;0;2026-07-25
C0000021;cliente21_1@exemplo.com;email;cadastro;10000002143;1;2026-07-25
C0000022;11968571795;telefone;cadastro;;0;2026-07-12
C0000022;11961700055;telefone;cadastro;10000002224;0;2026-07-12
C0000022;11935511941;telefone;enriquecimento;10000002224;0;2026-07-12
C0000023;11993638503;telefone;bureau;10000002305;0;2026-07-24
C0000023;11950308572;telefone;cadastro;;0;2026-07-24
C0000023;11953779528;telefone;enriquecimento;10000002305;1;2026-07-24
C0000023;11949682169;telefone;enriquecimento;;1;2026-07-24
C0000023;cliente23_0@exemplo.com;email;bureau;10000002305;1;2026-07-24
C0000023;cliente23_1@exemplo.com;email;enriquecimento;10000002305;0;2026-07-24
C0000024;(11) 97240-9658;telefone;cadastro;10000002496;0;2026-07-20
C0000024;11978608612;telefone;cadastro;10000002496;1;2026-07-20
C0000024;11932775593;telefone;cadastro;10000002496;1;2026-07-20
C0000024;(11) 94808-9166;telefone;bureau;10000002496;1;2026-07-20
C0000024;cliente24_0@exemplo.com;email;bureau;10000002496;0;2026-07-20
C0000025;11971124923;telefone;bureau;10000002577;1;2026-07-21
C0000025;11994525678;telefone;bureau;;0;2026-07-21
C0000025;(11) 96153-6717;telefone;cadastro;;1;2026-07-21
C0000025;11998054615;telefone;enriquecimento;10000002577;0;2026-07-21
C0000026;(11) 99960-0766;telefone;bureau;10000002658;1;2026-07-13
C0000026;cliente26_0@exemplo.com;email;bureau;10000002658;0;2026-07-13
C0000026;cliente26_1@exemplo.com;email;cadastro;10000002658;1;2026-07-13
C0000027;(11) 97040-7340;telefone;enriquecimento;10000002739;1;2026-07-19
C0000027;11995585469;telefone;cadastro;10000002739;0;2026-07-19
C0000027;cliente27_0@exemplo.com;email;bureau;10000002739;1;2026-07-19
C0000027;cliente27_1@exemplo.com;email;bureau;10000002739;0;2026-07-19
C0000028;11938716269;telefone;enriquecimento;10000002810;1;2026-07-12
C0000028;(11) 96470-7061;telefone;enriquecimento;10000002810;1;2026-07-12
C0000029;11950079111;telefone;enriquecimento;10000002909;0;2026-07-14
C0000029;(11) 96624-0084;telefone;enriquecimento;10000002909;1;2026-07-14
C0000029;(11) 99096-7191;telefone;bureau;10000002909;0;2026-07-14
C0000029;11975529051;telefone;cadastro;10000002909;1;2026-07-14
C0000030;11989442503;telefone;bureau;10000003034;1;2026-07-16
C0000030;cliente30_0@exemplo.com;email;bureau;10000003034;0;2026-07-16
C0000030;cliente30_1@exemplo.com;email;enriquecimento;10000003034;0;2026-07-16
C0000031;(11) 94385-9311;telefone;bureau;10000003115;1;2026-07-18
C0000031;11982399599;telefone;enriquecimento;10000003115;1;2026-07-18
C0000031;(11) 95697-0882;telefone;enriquecimento;;1;2026-07-18
C0000031;cliente31_0@exemplo.com;email;bureau;10000003115;1;2026-07-18
C0000031;cliente31_1@exemplo.com;email;bureau;10000003115;0;2026-07-18
C0000032;(11) 95951-2272;telefone;bureau;;0;2026-07-17
C0000032;11925372341;telefone;enriquecimento;;0;2026-07-17
C0000033;(11) 93661-9372;telefone;bureau;10000003387;0;2026-07-22
C0000033;(11) 99418-7049;telefone;enriquecimento;10000003387;0;2026-07-22
C0000033;11950477742;telefone;bureau;10000003387;0;2026-07-22
C0000033;(11) 92624-7735;telefone;bureau;10000003387;1;2026-07-22
C0000034;11995306788;telefone;bureau;10000003468;1;2026-07-13
C0000034;11930534124;telefone;enriquecimento;10000003468;0;2026-07-13
C0000034;11997302916;telefone;enriquecimento;;1;2026-07-13
C0000034;11982232344;telefone;bureau;;0;2026-07-13
C0000034;cliente34_0@exemplo.com;email;cadastro;10000003468;0;2026-07-13
C0000034;cliente34_1@exemplo.com;email;bureau;;0;2026-07-13
C0000035;(11) 95362-2663;telefone;bureau;10000003549;1;2026-07-22
C0000035;11944675473;telefone;cadastro;10000003549;0;2026-07-22
C0000035;(11) 94708-0140;telefone;bureau;10000003549;1;2026-07-22
C0000035;(11) 93564-3159;telefone;bureau;10000003549;1;2026-07-22
C0000035;cliente35_0@exemplo.com;email;cadastro;;0;2026-07-22
C0000035;cliente35_1@exemplo.com;email;bureau;10000003549;0;2026-07-22
C0000036;11999115205;telefone;cadastro;10000003620;1;2026-07-22
C0000036;(11) 98125-9135;telefone;enriquecimento;;0;2026-07-22
C0000036;11983871890;telefone;bureau;;1;2026-07-22
C0000036;11970900658;telefone;cadastro;10000003620;1;2026-07-22
C0000037;(11) 92349-2385;telefone;bureau;;1;2026-07-18
C0000037;(11) 95843-6637;telefone;enriquecimento;;1;2026-07-18
C0000037;11981690398;telefone;bureau;;0;2026-07-18
C0000037;11916109013;telefone;bureau;10000003700;1;2026-07-18
C0000037;cliente37_0@exemplo.com;email;enriquecimento;;0;2026-07-18
C0000037;cliente37_1@exemplo.com;email;enriquecimento;10000003700;0;2026-07-18
C0000038;11925312516;telefone;enriquecimento;;0;2026-07-24
C0000038;cliente38_0@exemplo.com;email;bureau;;0;2026-07-24
C0000039;11991378577;telefone;bureau;10000003972;0;2026-07-23
C0000039;(11) 98013-8498;telefone;enriquecimento;10000003972;1;2026-07-23
C0000039;cliente39_0@exemplo.com;email;bureau;10000003972;0;2026-07-23
C0000040;11998641164;telefone;enriquecimento;10000004006;1;2026-07-25
C0000040;11984087145;telefone;enriquecimento;;0;2026-07-25
C0000041;(11) 94550-7920;telefone;enriquecimento;10000004197;0;2026-07-20
C0000041;11998742485;telefone;enriquecimento;10000004197;0;2026-07-20
C0000041;(11) 93655-0845;telefone;enriquecimento;10000004197;1;2026-07-20
C0000041;(11) 99692-4061;telefone;enriquecimento;10000004197;1;2026-07-20
C0000042;11964023778;telefone;bureau;;0;2026-07-16
C0000042;cliente42_0@exemplo.com;email;enriquecimento;10000004278;0;2026-07-16
C0000042;cliente42_1@exemplo.com;email;bureau;10000004278;0;2026-07-16
C0000043;(11) 94617-3157;telefone;enriquecimento;;0;2026-07-17
C0000044;11973083727;telefone;bureau;;1;2026-07-19
C0000044;11999943797;telefone;enriquecimento;10000004430;1;2026-07-19
C0000044;11965250068;telefone;bureau;;1;2026-07-19
C0000044;(11) 96374-7791;telefone;enriquecimento;10000004430;1;2026-07-19
C0000044;cliente44_0@exemplo.com;email;enriquecimento;10000004430;1;2026-07-19
C0000045;11979583757;telefone;cadastro;10000004510;0;2026-07-17
C0000045;(11) 99394-0940;telefone;enriquecimento;;0;2026-07-17
C0000045;(11) 91692-7215;telefone;cadastro;10000004510;1;2026-07-17
C0000045;11948658617;telefone;enriquecimento;;1;2026-07-17
C0000046;(11) 97193-4487;telefone;bureau;;0;2026-07-24
C0000046;(11) 99693-4122;telefone;bureau;;1;2026-07-24
C0000046;(11) 94917-2995;telefone;enriquecimento;;1;2026-07-24
C0000046;(11) 97475-9996;telefone;bureau;;1;2026-07-24
C0000046;cliente46_0@exemplo.com;email;bureau;10000004600;1;2026-07-24
C0000046;cliente46_1@exemplo.com;email;bureau;10000004600;0;2026-07-24
C0000047;(11) 97814-7397;telefone;bureau;10000004782;1;2026-07-23
C0000047;11950071487;telefone;cadastro;10000004782;1;2026-07-23
C0000047;(11) 99857-5748;telefone;bureau;;1;2026-07-23
C0000047;cliente47_0@exemplo.com;email;enriquecimento;10000004782;0;2026-07-23
C0000047;cliente47_1@exemplo.com;email;cadastro;10000004782;0;2026-07-23
C0000048;11915858241;telefone;enriquecimento;10000004863;1;2026-07-12
C0000048;(11) 96116-7978;telefone;bureau;10000004863;1;2026-07-12
C0000048;11997512508;telefone;bureau;10000004863;1;2026-07-12
C0000048;(11) 91496-8688;telefone;bureau;10000004863;1;2026-07-12
C0000048;cliente48_0@exemplo.com;email;cadastro;10000004863;0;2026-07-12
C0000048;cliente48_1@exemplo.com;email;bureau;;0;2026-07-12
C0000049;(11) 95544-0919;telefone;enriquecimento;10000004944;1;2026-07-20
C0000049;11920779739;telefone;cadastro;;0;2026-07-20
C0000049;cliente49_0@exemplo.com;email;cadastro;10000004944;0;2026-07-20
C0000049;cliente49_1@exemplo.com;email;cadastro;10000004944;0;2026-07-20
C0000050;(11) 92213-0508;telefone;cadastro;;1;2026-07-16
C0000050;(11) 99506-0193;telefone;bureau;10000005088;1;2026-07-16
C0000050;11932329103;telefone;enriquecimento;10000005088;0;2026-07-16
C0000051;(11) 99180-4602;telefone;bureau;10000005169;0;2026-07-19
C0000051;(11) 99317-6117;telefone;cadastro;10000005169;1;2026-07-19
C0000051;cliente51_0@exemplo.com;email;cadastro;;0;2026-07-19
C0000051;cliente51_1@exemplo.com;email;bureau;;0;2026-07-19
C0000052;(11) 98886-2539;telefone;bureau;10000005240;0;2026-07-13
C0000052;11943567615;telefone;enriquecimento;;1;2026-07-13
C0000052;cliente52_0@exemplo.com;email;enriquecimento;10000005240;0;2026-07-13
C0000053;(11) 96312-4147;telefone;bureau;;1;2026-07-25
C0000053;11916582607;telefone;cadastro;10000005320;0;2026-07-25
C0000053;11948412328;telefone;enriquecimento;10000005320;0;2026-07-25
C0000054;11951464269;telefone;enriquecimento;10000005401;0;2026-07-13
C0000054;(11) 91447-8111;telefone;enriquecimento;10000005401;0;2026-07-13
C0000055;(11) 93208-4778;telefone;bureau;10000005592;0;2026-07-25
C0000055;(11) 97467-2520;telefone;bureau;10000005592;0;2026-07-25
C0000055;(11) 94961-3214;telefone;bureau;10000005592;0;2026-07-25
C0000056;(11) 98480-1233;telefone;cadastro;10000005673;0;2026-07-17
C0000056;11911868130;telefone;enriquecimento;10000005673;1;2026-07-17
C0000056;(11) 95947-0729;telefone;enriquecimento;;0;2026-07-17
C0000056;11988458327;telefone;cadastro;10000005673;0;2026-07-17
C0000056;cliente56_0@exemplo.com;email;bureau;;0;2026-07-17
C0000057;(11) 95055-9278;telefone;cadastro;10000005754;1;2026-07-14
C0000058;(11) 99999-1136;telefone;enriquecimento;10000005835;0;2026-07-12
C0000058;(11) 98250-3409;telefone;bureau;10000005835;1;2026-07-12
C0000058;cliente58_0@exemplo.com;email;enriquecimento;10000005835;0;2026-07-12
C0000058;cliente58_1@exemplo.com;email;enriquecimento;10000005835;0;2026-07-12
C0000059;(11) 95867-8896;telefone;cadastro;10000005916;1;2026-07-20
C0000059;(11) 95930-2863;telefone;enriquecimento;10000005916;0;2026-07-20
C0000059;cliente59_0@exemplo.com;email;cadastro;10000005916;0;2026-07-20
C0000060;11942691263;telefone;cadastro;10000006050;0;2026-07-17
C0000060;cliente60_0@exemplo.com;email;enriquecimento;10000006050;0;2026-07-17
C0000060;cliente60_1@exemplo.com;email;enriquecimento;10000006050;0;2026-07-17
C0000061;11927447248;telefone;bureau;;1;2026-07-16
C0000062;(11) 92701-3243;telefone;cadastro;10000006211;1;2026-07-22
C0000062;cliente62_0@exemplo.com;email;enriquecimento;10000006211;0;2026-07-22
C0000062;cliente62_1@exemplo.com;email;enriquecimento;10000006211;1;2026-07-22
C0000063;11918163847;telefone;bureau;10000006300;0;2026-07-24
C0000063;(11) 96390-4155;telefone;bureau;10000006300;1;2026-07-24
C0000063;11969533928;telefone;bureau;10000006300;1;2026-07-24
C0000063;cliente63_0@exemplo.com;email;bureau;10000006300;0;2026-07-24
C0000063;cliente63_1@exemplo.com;email;cadastro;;1;2026-07-24
C0000064;(11) 99787-4085;telefone;bureau;;0;2026-07-13
C0000064;11983998961;telefone;enriquecimento;;1;2026-07-13
C0000064;11970606674;telefone;enriquecimento;;1;2026-07-13
C0000064;(11) 97086-7592;telefone;bureau;;0;2026-07-13
C0000064;cliente64_0@exemplo.com;email;bureau;10000006483;1;2026-07-13
C0000065;11927463800;telefone;cadastro;;1;2026-07-13
C0000065;cliente65_0@exemplo.com;email;bureau;;0;2026-07-13
C0000065;cliente65_1@exemplo.com;email;enriquecimento;;0;2026-07-13
C0000066;(11) 99058-5678;telefone;cadastro;;1;2026-07-22
C0000066;cliente66_0@exemplo.com;email;cadastro;;0;2026-07-22
C0000066;cliente66_1@exemplo.com;email;cadastro;10000006645;0;2026-07-22
C0000067;11993446356;telefone;bureau;10000006726;0;2026-07-25
C0000067;11913523729;telefone;bureau;10000006726;0;2026-07-25
C0000067;(11) 94589-6226;telefone;bureau;;1;2026-07-25
C0000067;(11) 95147-1222;telefone;cadastro;10000006726;0;2026-07-25
C0000068;(11) 95575-4284;telefone;enriquecimento;;1;2026-07-18
C0000068;(11) 95353-7934;telefone;bureau;10000006807;0;2026-07-18
C0000068;cliente68_0@exemplo.com;email;cadastro;10000006807;0;2026-07-18
C0000068;cliente68_1@exemplo.com;email;cadastro;;0;2026-07-18
C0000069;(11) 97876-5957;telefone;enriquecimento;10000006998;1;2026-07-14
C0000069;(11) 94801-6697;telefone;enriquecimento;10000006998;0;2026-07-14
C0000069;(11) 98960-9131;telefone;cadastro;10000006998;0;2026-07-14
C0000069;(11) 91609-5815;telefone;bureau;10000006998;0;2026-07-14
C0000070;(11) 93358-1357;telefone;enriquecimento;10000007021;1;2026-07-22
C0000070;cliente70_0@exemplo.com;email;cadastro;10000007021;0;2026-07-22
C0000070;cliente70_1@exemplo.com;email;bureau;10000007021;0;2026-07-22
C0000071;(11) 98727-7086;telefone;enriquecimento;10000007102;1;2026-07-25
C0000071;cliente71_0@exemplo.com;email;enriquecimento;;0;2026-07-25
C0000071;cliente71_1@exemplo.com;email;cadastro;10000007102;0;2026-07-25
C0000072;11942657384;telefone;cadastro;10000007293;1;2026-07-17
C0000072;cliente72_0@exemplo.com;email;bureau;10000007293;0;2026-07-17
C0000073;(11) 95689-2354;telefone;bureau;10000007374;1;2026-07-13
C0000073;cliente73_0@exemplo.com;email;cadastro;10000007374;0;2026-07-13
C0000073;cliente73_1@exemplo.com;email;bureau;10000007374;0;2026-07-13
C0000074;11985764804;telefone;enriquecimento;;0;2026-07-12
C0000074;11953380275;telefone;enriquecimento;10000007455;0;2026-07-12
C0000074;11930261159;telefone;cadastro;;1;2026-07-12
C0000074;11994743076;telefone;enriquecimento;10000007455;0;2026-07-12
C0000074;cliente74_0@exemplo.com;email;bureau;10000007455;1;2026-07-12
C0000075;(11) 97210-4107;telefone;bureau;10000007536;1;2026-07-22
C0000075;cliente75_0@exemplo.com;email;bureau;10000007536;0;2026-07-22
C0000075;cliente75_1@exemplo.com;email;cadastro;10000007536;0;2026-07-22
C0000076;11956095437;telefone;bureau;10000007617;1;2026-07-16
C0000076;cliente76_0@exemplo.com;email;enriquecimento;;0;2026-07-16
C0000076;cliente76_1@exemplo.com;email;bureau;10000007617;0;2026-07-16
C0000077;(11) 99467-6162;telefone;cadastro;;1;2026-07-15
C0000077;11918846539;telefone;bureau;10000007706;0;2026-07-15
C0000077;11961883769;telefone;cadastro;10000007706;0;2026-07-15
C0000077;(11) 99812-2539;telefone;bureau;10000007706;0;2026-07-15
C0000078;11951551377;telefone;cadastro;;1;2026-07-20
C0000078;(11) 99636-8203;telefone;enriquecimento;10000007889;1;2026-07-20
C0000078;(11) 99994-1500;telefone;cadastro;10000007889;0;2026-07-20
C0000078;(11) 98065-1318;telefone;enriquecimento;;0;2026-07-20
C0000078;cliente78_0@exemplo.com;email;bureau;;0;2026-07-20
C0000078;cliente78_1@exemplo.com;email;enriquecimento;10000007889;0;2026-07-20
C0000079;11978140959;telefone;cadastro;10000007960;0;2026-07-17
C0000079;cliente79_0@exemplo.com;email;enriquecimento;;0;2026-07-17
C0000079;cliente79_1@exemplo.com;email;cadastro;10000007960;0;2026-07-17
C0000080;(11) 96514-4509;telefone;enriquecimento;10000008001;1;2026-07-21
C0000080;(11) 94188-0763;telefone;cadastro;10000008001;0;2026-07-21
C0000080;cliente80_0@exemplo.com;email;cadastro;10000008001;0;2026-07-21
C0000080;cliente80_1@exemplo.com;email;bureau;10000008001;0;2026-07-21
C0000081;11961254050;telefone;enriquecimento;;1;2026-07-23
C0000081;(11) 93175-1079;telefone;bureau;10000008184;0;2026-07-23
C0000081;(11) 92857-5536;telefone;bureau;10000008184;0;2026-07-23
C0000081;11917003454;telefone;enriquecimento;10000008184;0;2026-07-23
C0000081;cliente81_0@exemplo.com;email;cadastro;10000008184;0;2026-07-23
C0000081;cliente81_1@exemplo.com;email;cadastro;10000008184;0;2026-07-23
C0000082;11970549373;telefone;enriquecimento;10000008265;0;2026-07-22
C0000082;(11) 96568-6520;telefone;enriquecimento;10000008265;1;2026-07-22
C0000082;(11) 97737-8254;telefone;enriquecimento;10000008265;1;2026-07-22
C0000082;(11) 92095-2896;telefone;cadastro;10000008265;0;2026-07-22
C0000083;(11) 97021-0270;telefone;bureau;10000008346;0;2026-07-13
C0000083;11912550658;telefone;cadastro;10000008346;1;2026-07-13
C0000084;(11) 91842-9833;telefone;bureau;;1;2026-07-13
C0000084;cliente84_0@exemplo.com;email;bureau;10000008427;0;2026-07-13
C0000085;(11) 99917-0406;telefone;enriquecimento;;1;2026-07-22
C0000085;11980260907;telefone;bureau;;1;2026-07-22
C0000085;cliente85_0@exemplo.com;email;enriquecimento;10000008508;0;2026-07-22
C0000085;cliente85_1@exemplo.com;email;cadastro;;0;2026-07-22
C0000086;11956278607;telefone;bureau;10000008699;1;2026-07-18
C0000086;cliente86_0@exemplo.com;email;bureau;10000008699;0;2026-07-18
C0000086;cliente86_1@exemplo.com;email;cadastro;10000008699;0;2026-07-18
C0000087;11974227366;telefone;enriquecimento;10000008770;0;2026-07-22
C0000087;11918469210;telefone;enriquecimento;10000008770;0;2026-07-22
C0000087;11914963880;telefone;cadastro;10000008770;1;2026-07-22
C0000087;(11) 93677-2387;telefone;cadastro;10000008770;1;2026-07-22
C0000087;cliente87_0@exemplo.com;email;bureau;10000008770;1;2026-07-22
C0000088;11954550177;telefone;enriquecimento;;0;2026-07-14
C0000088;cliente88_0@exemplo.com;email;enriquecimento;;0;2026-07-14
C0000089;(11) 96697-5380;telefone;bureau;10000008931;0;2026-07-22
C0000089;(11) 93422-0459;telefone;bureau;;1;2026-07-22
C0000089;11920746667;telefone;enriquecimento;;1;2026-07-22
C0000089;cliente89_0@exemplo.com;email;cadastro;10000008931;0;2026-07-22
C0000090;(11) 92007-1854;telefone;cadastro;10000009075;1;2026-07-23
C0000090;11964520614;telefone;bureau;;0;2026-07-23
C0000090;11931473054;telefone;bureau;10000009075;1;2026-07-23
C0000090;(11) 99154-7054;telefone;enriquecimento;10000009075;1;2026-07-23
C0000091;(11) 95993-0790;telefone;bureau;10000009156;1;2026-07-25
C0000091;(11) 92848-1124;telefone;cadastro;10000009156;1;2026-07-25
C0000091;11997182566;telefone;enriquecimento;10000009156;0;2026-07-25
C0000091;(11) 91347-8029;telefone;bureau;10000009156;1;2026-07-25
C0000091;cliente91_0@exemplo.com;email;cadastro;10000009156;0;2026-07-25
C0000092;11919939096;telefone;bureau;10000009237;0;2026-07-18
C0000092;(11) 96974-1812;telefone;enriquecimento;10000009237;1;2026-07-18
C0000092;(11) 95289-4344;telefone;cadastro;10000009237;0;2026-07-18
C0000092;(11) 98381-9367;telefone;enriquecimento;10000009237;1;2026-07-18
C0000093;11976306502;telefone;cadastro;10000009318;1;2026-07-23
C0000093;11984359498;telefone;enriquecimento;10000009318;1;2026-07-23
C0000093;cliente93_0@exemplo.com;email;cadastro;10000009318;0;2026-07-23
C0000093;cliente93_1@exemplo.com;email;bureau;10000009318;0;2026-07-23
C0000094;(11) 99621-3226;telefone;cadastro;10000009407;1;2026-07-22
C0000094;cliente94_0@exemplo.com;email;cadastro;10000009407;1;2026-07-22
C0000095;(11) 92666-4623;telefone;bureau;10000009580;1;2026-07-21
C0000095;11950818905;telefone;enriquecimento;10000009580;0;2026-07-21
C0000095;11940262109;telefone;enriquecimento;10000009580;0;2026-07-21
C0000095;11948124318;telefone;enriquecimento;10000009580;1;2026-07-21
C0000095;cliente95_0@exemplo.com;email;cadastro;10000009580;0;2026-07-21
C0000095;cliente95_1@exemplo.com;email;bureau;10000009580;0;2026-07-21
C0000096;(11) 98564-7532;telefone;enriquecimento;;0;2026-07-24
C0000096;11920901547;telefone;cadastro;10000009660;1;2026-07-24
C0000096;cliente96_0@exemplo.com;email;cadastro;10000009660;0;2026-07-24
C0000096;cliente96_1@exemplo.com;email;enriquecimento;10000009660;0;2026-07-24
C0000097;11964504816;telefone;enriquecimento;10000009741;1;2026-07-17
C0000097;11918041391;telefone;cadastro;;1;2026-07-17
C0000097;11972336371;telefone;enriquecimento;10000009741;1;2026-07-17
C0000097;cliente97_0@exemplo.com;email;enriquecimento;10000009741;0;2026-07-17
C0000097;cliente97_1@exemplo.com;email;enriquecimento;10000009741;0;2026-07-17
C0000098;11926444612;telefone;bureau;10000009822;1;2026-07-13
C0000099;11987535841;telefone;cadastro;10000009903;1;2026-07-18
C0000099;(11) 93138-6576;telefone;cadastro;10000009903;0;2026-07-18
C0000099;cliente99_0@exemplo.com;email;enriquecimento;10000009903;0;2026-07-18
C0000100;11990197611;telefone;bureau;10000010081;0;2026-07-12
C0000100;cliente100_0@exemplo.com;email;cadastro;;1;2026-07-12
C0000100;cliente100_1@exemplo.com;email;cadastro;10000010081;0;2026-07-12
C0000101;11958657117;telefone;enriquecimento;10000010162;1;2026-07-15
C0000102;11962868861;telefone;cadastro;10000010243;0;2026-07-21
C0000102;11984870921;telefone;bureau;;0;2026-07-21
C0000103;(11) 95401-8830;telefone;enriquecimento;10000010324;1;2026-07-14
C0000103;11962741471;telefone;bureau;10000010324;0;2026-07-14
C0000103;(11) 95016-2553;telefone;enriquecimento;10000010324;1;2026-07-14
C0000103;(11) 97841-2668;telefone;bureau;;0;2026-07-14
C0000103;cliente103_0@exemplo.com;email;cadastro;10000010324;0;2026-07-14
C0000104;(11) 99799-1930;telefone;cadastro;10000010405;0;2026-07-21
C0000104;cliente104_0@exemplo.com;email;enriquecimento;10000010405;0;2026-07-21
C0000104;cliente104_1@exemplo.com;email;bureau;10000010405;0;2026-07-21
C0000105;(11) 93560-6639;telefone;cadastro;10000010596;1;2026-07-12
C0000105;(11) 95210-3092;telefone;enriquecimento;10000010596;1;2026-07-12
C0000106;11998882576;telefone;enriquecimento;;0;2026-07-20
C0000106;(11) 93324-4151;telefone;bureau;10000010677;1;2026-07-20
C0000106;cliente106_0@exemplo.com;email;bureau;;0;2026-07-20
C0000106;cliente106_1@exemplo.com;email;enriquecimento;10000010677;0;2026-07-20
C0000107;11940181142;telefone;enriquecimento;10000010758;0;2026-07-16
C0000107;11948789478;telefone;bureau;10000010758;0;2026-07-16
C0000107;cliente107_0@exemplo.com;email;cadastro;10000010758;0;2026-07-16
C0000107;cliente107_1@exemplo.com;email;cadastro;;1;2026-07-16
C0000108;(11) 96295-3249;telefone;enriquecimento;10000010839;0;2026-07-15
C0000108;11929659692;telefone;enriquecimento;10000010839;0;2026-07-15
C0000108;11920607151;telefone;bureau;10000010839;1;2026-07-15
C0000108;(11) 94441-9327;telefone;bureau;10000010839;1;2026-07-15
C0000108;cliente108_0@exemplo.com;email;cadastro;10000010839;0;2026-07-15
C0000108;cliente108_1@exemplo.com;email;enriquecimento;10000010839;1;2026-07-15
